job,env,arm,seed,reward,success,joint,cost,violation,steps,eval_episodes,exit_code,command
development_DiagReachK3_s180_full_kl,DiagReachK3,full_kl,180,9.460030913194165,1.0,1.0,"[6.278527027521378, 5.809860036923335, 11.041127223234911]","[0.0, 0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s180_full_kl/job.json""]"
development_DiagReachK3_s180_full_none,DiagReachK3,full_none,180,9.61037965195581,1.0,0.5737179487179487,"[6.072295642816103, 6.480786418303465, 11.447048978927809]","[0.0, 0.42628205128205127, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s180_full_none/job.json""]"
development_DiagReachK3_s180_full_ot,DiagReachK3,full_ot,180,9.61037965195581,1.0,0.5737179487179487,"[6.072295642816103, 6.480786418303465, 11.447048978927809]","[0.0, 0.42628205128205127, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s180_full_ot/job.json""]"
development_DiagReachK3_s180_ppolag,DiagReachK3,ppolag,180,9.729019615997368,1.0,0.08012820512820513,"[7.095277515741495, 6.0163237284391355, 12.01160123715034]","[0.9198717948717948, 0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/baseline_worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s180_ppolag/job.json""]"
development_DiagReachK3_s186_fisher,DiagReachK3,fisher,186,9.275744333862509,1.0,1.0,"[6.465261025306506, 4.892990445479368, 10.258227947430733]","[0.0, 0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/baseline_worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s186_fisher/job.json""]"
development_DiagReachK3_s186_full_kl,DiagReachK3,full_kl,186,9.426122612995618,1.0,0.9583333333333334,"[6.752605129510928, 5.093748869040073, 10.841117675487812]","[0.041666666666666664, 0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s186_full_kl/job.json""]"
development_DiagReachK3_s186_full_none,DiagReachK3,full_none,186,9.388935584708143,1.0,1.0,"[6.430996959026043, 6.097764132878719, 11.444425225257874]","[0.0, 0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s186_full_none/job.json""]"
development_DiagReachK3_s186_full_ot,DiagReachK3,full_ot,186,9.426122612995618,1.0,0.9583333333333334,"[6.752605129510928, 5.093748869040073, 10.841117675487812]","[0.041666666666666664, 0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s186_full_ot/job.json""]"
development_DiagReachK3_s186_ppolag,DiagReachK3,ppolag,186,9.792177735473098,1.0,1.0,"[6.782994820521428, 6.144239138334226, 11.826384966190044]","[0.0, 0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/baseline_worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s186_ppolag/job.json""]"
development_DiagReachK3_s187_fisher,DiagReachK3,fisher,187,8.827241488668966,1.0,1.0,"[6.283220443970118, 4.985714018344879, 10.079102516174316]","[0.0, 0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/baseline_worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s187_fisher/job.json""]"
development_DiagReachK3_s187_full_kl,DiagReachK3,full_kl,187,9.328835146679566,1.0,0.9775641025641025,"[6.155566972035628, 6.267815712170723, 11.333840321271847]","[0.0, 0.022435897435897436, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s187_full_kl/job.json""]"
development_DiagReachK3_s187_full_none,DiagReachK3,full_none,187,9.611350693398018,1.0,1.0,"[6.302330921857785, 6.183984851225828, 11.376248845687279]","[0.0, 0.0, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s187_full_none/job.json""]"
development_DiagReachK3_s187_full_ot,DiagReachK3,full_ot,187,9.328835146679566,1.0,0.9775641025641025,"[6.155566972035628, 6.267815712170723, 11.333840321271847]","[0.0, 0.022435897435897436, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s187_full_ot/job.json""]"
development_DiagReachK3_s187_ppolag,DiagReachK3,ppolag,187,9.798433824845247,1.0,0.8782051282051282,"[6.7041397629640045, 6.4267564813296, 12.030851122660515]","[0.0, 0.12179487179487179, 0.0]",12000,312,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/baseline_worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/full_actor_joint/v1/attempt2/jobs/development_DiagReachK3_s187_ppolag/job.json""]"
