env,metric,seed,endpoint,inner_effect,outer_effect,interaction
DiagReachK3,KL,186,excess,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,KL,187,reward,0.0378039858202861,0.0,0.0
DiagReachK3,KL,187,success,0.0,0.0,0.0
DiagReachK3,KL,187,joint,-0.012820512820512775,0.0,0.0
DiagReachK3,KL,187,any_event,0.01282051282051282,0.0,0.0
DiagReachK3,KL,187,installs,-2.0,0.0,0
DiagReachK3,KL,187,middle_selected,-4.0,0.0,0
DiagReachK3,KL,187,middle_installed,0.0,0.0,0
DiagReachK3,KL,187,cost_mean,"[0.7986618341543741, 0.14583974465345761, 1.0221332219930783]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,KL,187,event,"[0.01282051282051282, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,KL,187,excess,"[7.813120936299398e-05, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,W2,180,reward,0.04970514246231161,0.0,0.0
DiagReachK3,W2,180,success,0.0,0.0,0.0
DiagReachK3,W2,180,joint,0.0,0.0,0.0
DiagReachK3,W2,180,any_event,0.0,0.0,0.0
DiagReachK3,W2,180,installs,-1.0,0.0,0
DiagReachK3,W2,180,middle_selected,-2.0,0.0,0
DiagReachK3,W2,180,middle_installed,0.0,0.0,0
DiagReachK3,W2,180,cost_mean,"[0.1694627419496193, -0.17209094304304884, 0.053422395999614736]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,W2,180,event,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,W2,180,excess,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,W2,186,reward,0.27637246136231575,0.0,0.0
DiagReachK3,W2,186,success,0.0,0.0,0.0
DiagReachK3,W2,186,joint,0.0,0.0,0.0
DiagReachK3,W2,186,any_event,0.0,0.0,0.0
DiagReachK3,W2,186,installs,-2.0,0.0,0
DiagReachK3,W2,186,middle_selected,-4.0,0.0,0
DiagReachK3,W2,186,middle_installed,-1.0,0.0,0
