cohort,job,task,seed,margin_mode,soft_mode,lp_epsilon,hard_epsilon,budget_estimator,sample_steps,episodes,reward,reward_episode_se,soft_cost,soft_episode_se,soft_budget,empirical_soft_feasible,hard_events,hard_rate,hard_cp95_upper,hard_005_gate,checkpoint_sha256,final_eval_sha256
approach_bridge_20260910,distance_fixed_s1,SafetyCarGoal2-v0,1,distance,fixed,1.0,0.1,mixture,2000000,312,5.916620141597832,0.36284299908720125,0.4935897435897436,0.1552920587163508,25.0,True,2,0.00641025641025641,0.02004035719137593,False,40f595b3f25a0802e73ae2c597a0621805f71990112f6f290889617347e4b3d5,4929e7c38c7300e4be85d7581370a952b7fbb3d6e208483a818b641370cdbf15
approach_bridge_20260910,distance_lp_s1,SafetyCarGoal2-v0,1,distance,lp,1.0,0.1,mixture,2000000,312,7.831168414863648,0.43431839177733855,14.66025641025641,2.202114282420411,25.0,True,1,0.003205128205128205,0.015113773151500549,False,06927c3b33e11dba0d0c072e0cdf2a24152f92341ae310a36d2556378503daad,f75e0955fb1a61f06c5bb42146290c48a06b4825a8b871c8f7f1be70a6f7d8aa
approach_bridge_20260910,approach_fixed_s1,SafetyCarGoal2-v0,1,approach,fixed,1.0,0.1,mixture,2000000,312,15.557723733026428,0.5691025270541762,0.7339743589743589,0.2598326078182059,25.0,True,7,0.022435897435897436,0.04172682166890226,False,5510eabb6e175d2f876750c43d9e95b71e327ae5f12060d71812e7dc1a4cbdeb,2b364cf3d9d8c42b93495b2ad751a34ed8ce8fd082d48f1b0739580c21f33eb9
approach_bridge_20260910,approach_lp_s1,SafetyCarGoal2-v0,1,approach,lp,1.0,0.1,mixture,2000000,312,21.01418851469375,0.5470517579194614,29.266025641025642,1.5692210994410638,25.0,False,3,0.009615384615384616,0.024662712139172475,False,0569f8719cfa7d87645eccc007e006228c09e735a5f4166f4e94d0e5e56cd7c4,d32f547fc38e5a85cdb0467360689c235f4138fb43d90fc2a80d50b6c46979c5
pg2_bridge_20260910,distance_fixed_e1_s1,SafetyPointGoal2-v0,1,distance,fixed,1.0,0.1,mixture,2000000,312,6.082418705601602,0.37920658031822163,0.7852564102564102,0.2597868381753265,25.0,True,2,0.00641025641025641,0.02004035719137593,False,50a1957277777861a758af04d9ba2367dfee45c091b31d0247f2b0ba6a63f48b,87d692bbb2158c166347e6bac1245dbd48d5a642b941c3208c313f9217a88631
cg2_epsilon_20260910,distance_lp_e0p1_s1,SafetyCarGoal2-v0,1,distance,lp,0.1,0.1,mixture,2000000,312,8.569165813288292,0.44107451640137535,16.73076923076923,1.8759870697679233,25.0,True,1,0.003205128205128205,0.015113773151500549,False,a72e29915b4fb7e7524048939659704778cfdf0de5252681d2fed0dfeb183cf9,7a09ac485e7724b43e80ef95d3ffa952be6379041604ebdb999644746bc17e52
cg2_epsilon_20260910,distance_lp_e1_s1,SafetyCarGoal2-v0,1,distance,lp,1.0,0.1,mixture,2000000,312,8.57947929219804,0.44312914772013656,18.94871794871795,2.8096493660631565,25.0,True,2,0.00641025641025641,0.02004035719137593,False,06927c3b33e11dba0d0c072e0cdf2a24152f92341ae310a36d2556378503daad,5759663d0bb3513ea45f529f28b0afd2fbef2bcc54f61b209880c10a6038eda2
cg2_epsilon_20260910,distance_lp_e3_s1,SafetyCarGoal2-v0,1,distance,lp,3.0,0.1,mixture,2000000,312,5.973933528182227,0.36418036943688614,5.676282051282051,1.0245075094782274,25.0,True,2,0.00641025641025641,0.02004035719137593,False,253418e157f7f95539cf29f9c0770de5807399c7dd20330c783de29612a3742b,9a8bc6d36c269aa523b839292d5e4dc7c7bbb8e65f628eb3b8da6aade6230f82
cg2_epsilon_20260910,approach_lp_e0p1_s1,SafetyCarGoal2-v0,1,approach,lp,0.1,0.1,mixture,2000000,312,21.602161875433648,0.5665897482484104,27.78525641025641,1.6450613779715788,25.0,False,2,0.00641025641025641,0.02004035719137593,False,12f5f6b5896ecca832eb8b582f70616f8b3e1f27b5a053a9f9c94ed1a070b86d,c662e28d0aa4f9e3992c3b0422a0a5d60712b6968235722da348be1e9ff70f53
cg2_epsilon_20260910,approach_lp_e1_s1,SafetyCarGoal2-v0,1,approach,lp,1.0,0.1,mixture,2000000,312,21.675839424548084,0.5360881000085721,30.108974358974358,1.6469637644073616,25.0,False,4,0.01282051282051282,0.029096557340277707,False,0569f8719cfa7d87645eccc007e006228c09e735a5f4166f4e94d0e5e56cd7c4,020e32add615b9fc60a4fb3601871cd9aa99bd8337de6b18b98af5c282e81d6d
cg2_epsilon_20260910,approach_lp_e3_s1,SafetyCarGoal2-v0,1,approach,lp,3.0,0.1,mixture,2000000,312,21.320059377542453,0.5397720490299522,23.833333333333332,1.379236528478543,25.0,True,7,0.022435897435897436,0.04172682166890226,False,3d8b32803b16faf94bc021f0a75dcd02128cfbe2df50334936fd96fbe2033e59,7f376f551324969906cc709d6457a2db05ab294895ab0d3845dcc1fab10352f2
cg2_epsilon_20260910,distance_lp_e0p1_s2,SafetyCarGoal2-v0,2,distance,lp,0.1,0.1,mixture,2000000,312,8.983844446679765,0.4439615297141951,20.71474358974359,2.486441119428633,25.0,True,1,0.003205128205128205,0.015113773151500549,False,935108232cca803fd81ff43fffbd850cce7ac80055ae904dffc49d42f6fc04fa,b8441f8fbf02968e40d8475f13a14f82ace14d71551673a9be8e2e9b0a6a77b9
cg2_epsilon_20260910,distance_lp_e1_s2,SafetyCarGoal2-v0,2,distance,lp,1.0,0.1,mixture,2000000,312,9.38318332192988,0.4550634679213686,23.85576923076923,3.667286620049279,25.0,True,2,0.00641025641025641,0.02004035719137593,False,0c5e075393b22f29da87204f6d77c1c3abbb71a0ad55da8364e0ad2ce8fafb3f,3ba29f2e18f38f7c50e20455411ec183c746fdcb6f68a1027ac1422abeb4b86e
cg2_epsilon_20260910,distance_lp_e3_s2,SafetyCarGoal2-v0,2,distance,lp,3.0,0.1,mixture,2000000,312,9.193309540537577,0.4819663734888381,26.150641025641026,4.039069339161445,25.0,False,0,0.0,0.009555756807037344,False,d7445bf0ab8a8a54604fc8c638246385a1a0986cc9d270d2a5d7ab9abb3a7c76,908da5502a3bc5d54951e783d6c3b9fa234a6726c54b7252a526f6de01902137
