env,seed,cycle,anchor,metric,channel,Gtrain,GholdLR,GholdLR_lo,GholdLR_hi,Gsample,Gsample_lo,Gsample_hi,Gdet,Gdet_lo,Gdet_hi,T,T_lo,T_hi,L,L_lo,L_hi,K,K_lo,K_hi,mean_only,mean_only_lo,mean_only_hi,std_only,std_only_lo,std_only_hi,interaction,interaction_lo,interaction_hi,cost_intercept_sample,cost_intercept_det,inner_cost_over_budget,det_any_event
DiagReachK2,180,0,0,KL,shaped,1.457588772881019,0.41881340110451637,0.2656452208238657,0.5859656621979229,0.42650625109672546,0.34240101352334024,0.5143400475382804,1.3239890336990356,1.3157065004110335,1.3333898037672043,1.0387753717765027,0.8716231106830962,1.1919435520571533,-0.007692849992209094,-0.16567371982620654,0.16885182158193288,-0.8974827527999878,-0.9725722253322602,-0.8098442763090135,0.47492629289627075,0.392313452064991,0.5642949000000953,-0.06582003086805344,-0.07696685027331114,-0.05453785927966238,0.017400065436959267,0.00789758563041687,0.029418504983186704,,,,0.0
DiagReachK2,180,0,0,KL,raw,1.3378307056170853,0.4309778993783512,0.2834139891809278,0.6051227494796598,0.48542797565460205,0.43012124449014666,0.5511740311980245,1.3239890336990356,1.3157065004110335,1.3333898037672043,0.9068528062387341,0.7327079561374253,1.0544167164361573,-0.05445007627625087,-0.2072600067292052,0.12625325041998983,-0.8385610580444336,-0.8926712453365326,-0.7724180817604065,0.5381507873535156,0.48047189339995383,0.6069311991333961,-0.06223649904131889,-0.07254065461456775,-0.05203464487567544,0.009513781405985355,0.005479318276047707,0.013154040090739724,,,,0.0
DiagReachK2,180,0,0,KL,penalty,-0.11975803021740854,0.012164505243044979,-0.005076265052904369,0.03338690489445024,0.05892171710729599,0.025642750225961207,0.0968114960938692,0.0,0.0,0.0,-0.13192253546045352,-0.15314493511185878,-0.11468176516450418,-0.04675721186425101,-0.07854419124737692,-0.019081536694293456,0.05892171710729599,0.025642750225961207,0.0968114960938692,0.06322447955608368,0.029842811124399304,0.10229832008481024,0.0035835132002830505,-0.0030196514213457703,0.010293368645943697,-0.007886283099651337,-0.019389028148725628,0.0009506461676210149,,,,0.0
DiagReachK2,180,0,0,KL,cost_0,0.5797600938195491,0.14699482868945735,0.05867778248118856,0.23456935978208704,0.24192512035369873,0.2020238157361746,0.28234823048114777,0.08382248133420944,0.07394763603806495,0.09353078585118052,0.4327652651300917,0.34519073403746203,0.5210823113383605,-0.09493029166424138,-0.1876532014570864,-0.0012260788444048727,0.1581026315689087,0.11869876310229302,0.2007799807935953,0.3140639364719391,0.2616746544837952,0.36567056179046625,-0.07532232999801636,-0.09230143018066883,-0.05797146810218693,0.003183573018759489,-0.0021877387538552285,0.00795409511774778,0.028136134147644043,1.5594117641448975,0.3565286429940744,0.0
DiagReachK2,180,0,0,KL,cost_1,0.3303766213328741,0.2509520921419172,0.1272230231223216,0.36926568732624415,0.3049219846725464,0.2672262407839298,0.34202309027314187,0.6255630850791931,0.6166046470403671,0.6342741191387177,0.07942452919095688,-0.03888906599337011,0.20315359821055248,-0.05396989253062917,-0.1838075005759648,0.07095731364083381,-0.32064110040664673,-0.3599654667079449,-0.28220735788345336,0.3036237955093384,0.2684065654873848,0.33814150020480155,0.0009700336959213018,-0.005202902317978442,0.007037586858496064,0.0003281456883996725,-0.0016203980485443026,0.0021639823156874628,-0.31322646141052246,1.322800636291504,0.3261014018203004,0.0
DiagReachK2,180,0,0,W2,shaped,1.4705034978292555,0.41003976320819446,0.25049805367837247,0.5872857000534333,0.4453459680080414,0.3652158059179783,0.5314194157719612,1.3313555717468262,1.323158511519432,1.3405898958444595,1.060463734621061,0.883217797775822,1.220005444150883,-0.03530620479984692,-0.1939890090573681,0.15235350702701364,-0.8860095739364624,-0.9603225573897362,-0.8011680334806442,0.49061691761016846,0.40920339822769164,0.5789208948612212,-0.07003359496593475,-0.08152627181261778,-0.0581908755004406,0.024762731045484543,0.014853686466813088,0.03737231791019439,,,,0.0
DiagReachK2,180,0,0,W2,raw,1.3767718378916158,0.4267884310797519,0.26996794151352854,0.6058779693545304,0.49984923005104065,0.44330115243792534,0.5628789305686951,1.3313555717468262,1.323158511519432,1.3405898958444595,0.949983406811864,0.770893868537085,1.1068038963780873,-0.07306079897128875,-0.22774039571597823,0.1118100528838476,-0.8315063714981079,-0.8855760559439659,-0.7654930472373963,0.5562096834182739,0.5000054612755775,0.6232078567147254,-0.07265949249267578,-0.08323664404451847,-0.062030916661024095,0.01629919558763504,0.012340438924729824,0.020126813463866706,,,,0.0
DiagReachK2,180,0,0,W2,penalty,-0.09373162311209143,0.016748673558614324,0.00260333479593053,0.035159018496740475,0.05450335890054703,0.02371531678363681,0.09010730683803558,0.0,0.0,0.0,-0.11048029667070576,-0.12889064160883193,-0.09633495790802196,-0.0377546853419327,-0.06378277563582598,-0.014797853847484005,0.05450335890054703,0.02371531678363681,0.09010730683803558,0.06559279561042786,0.030964793218299747,0.10719011146575211,-0.002625931054353714,-0.009986372571438551,0.002605088474228974,-0.008463508449494839,-0.020621489360928537,-8.936738595368372e-06,,,,0.0
DiagReachK2,180,0,0,W2,cost_0,0.5706208602521459,0.12274329213086263,0.03232176815239869,0.21450010339325085,0.22688958048820496,0.1900866527110338,0.2644870519638061,0.0783463791012764,0.06877160724252462,0.087825140543282,0.4478775681212832,0.356120756858895,0.5382990920997471,-0.10414628835734233,-0.19845934353720432,-0.006412394200308573,0.14854320883750916,0.11214833240956068,0.18906376212835307,0.3138701915740967,0.26469413936138153,0.363107031583786,-0.09204886853694916,-0.11125095132738352,-0.07261939682066441,0.0050683156587183475,-0.0009269729256629944,0.010509288311004637,0.028136134147644043,1.5594117641448975,0.35500543739950724,0.0
DiagReachK2,180,0,0,W2,cost_1,0.36665963601470025,0.2583758787598611,0.13572207037728304,0.3849507792230064,0.3151320219039917,0.2805893778800964,0.35042230933904644,0.6488766074180603,0.6396065473556518,0.6578333303332329,0.10828375725483913,-0.01829114320830617,0.2309375656374171,-0.05675614314413058,-0.18607487729087546,0.08354049318598548,-0.3337445855140686,-0.36973870992660524,-0.2973456226289272,0.32619184255599976,0.29170704409480097,0.36059759259223934,-0.014984163455665112,-0.02100099823437631,-0.009136359044350686,0.003924368415027857,0.002139667421579361,0.005399382160976528,-0.31322646141052246,1.322800636291504,0.33214857093393807,0.0
