queue,task,arm,training_seed,det_reward,det_cost,det_budget_exceedance,sto_reward,sto_cost,sto_budget_exceedance,det_episodes,sto_episodes
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda0.1,1,28.06605228406973,197.9,1.0,30.42239984921016,197.4,1.0,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda0.1,2,29.617057888897346,202.5,1.0,29.590818306287932,147.13333333333333,1.0,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda0.1,3,25.36994293306382,228.83333333333334,0.9666666666666667,27.08796296431743,177.36666666666667,0.9666666666666667,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda10,1,0.22712875571894003,29.033333333333335,0.2,-0.1821560503471316,42.63333333333333,0.3333333333333333,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda10,2,-0.07031639417099496,50.166666666666664,0.43333333333333335,0.5528586703406432,27.466666666666665,0.16666666666666666,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda10,3,-0.7497991209872495,33.266666666666666,0.26666666666666666,-0.01758054570056955,17.4,0.06666666666666667,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda1,1,10.172743187533728,119.0,0.7333333333333333,9.26607656199133,99.43333333333334,0.7,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda1,2,10.136170140430282,61.2,0.7333333333333333,9.655040250086907,72.3,0.6333333333333333,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,penalty_lambda1,3,10.854579676105445,86.56666666666666,0.7333333333333333,9.086117730392047,73.96666666666667,0.6333333333333333,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps0.1,1,4.989130391547174,36.93333333333333,0.3,4.326164437769308,38.1,0.36666666666666664,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps0.1,2,5.86301200483831,50.3,0.43333333333333335,5.602520441956706,34.8,0.3333333333333333,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps0.1,3,5.747606788131355,32.0,0.36666666666666664,4.906853927855367,39.13333333333333,0.36666666666666664,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps1,1,3.8230081975943135,37.03333333333333,0.3333333333333333,4.550648579641188,61.63333333333333,0.43333333333333335,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps1,2,2.1073021002936163,36.233333333333334,0.3333333333333333,2.9786337824413103,21.6,0.26666666666666666,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps1,3,2.604784616910423,15.8,0.26666666666666666,2.64874683251711,19.166666666666668,0.3,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps3,1,2.481141717010743,28.7,0.36666666666666664,5.29660605791635,34.46666666666667,0.36666666666666664,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps3,2,5.849232118680462,44.733333333333334,0.5,3.146012156380291,44.3,0.43333333333333335,30,30
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps3,3,2.383101928204929,42.666666666666664,0.2,3.5318215191228504,24.866666666666667,0.36666666666666664,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda0.1,1,29.10652785695061,171.83333333333334,0.9333333333333333,28.12955199754606,168.73333333333332,0.9,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda0.1,2,28.502649947513216,174.83333333333334,1.0,30.199321784375364,163.1,0.9666666666666667,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda0.1,3,25.52060311212901,224.63333333333333,0.9666666666666667,25.557162670564928,163.73333333333332,0.9666666666666667,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda10,1,-2.066788251775224,6.466666666666667,0.06666666666666667,-0.9937650529733736,3.2333333333333334,0.06666666666666667,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda10,2,-16.835060820833178,14.833333333333334,0.13333333333333333,-1.6622861608184876,8.8,0.16666666666666666,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda10,3,-1.8729039599349386,23.766666666666666,0.36666666666666664,-1.2037178758700091,12.466666666666667,0.16666666666666666,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda1,1,2.4616206794281967,105.03333333333333,0.6666666666666666,11.856952457936371,69.0,0.7,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda1,2,13.276884343700562,72.23333333333333,0.6333333333333333,14.305784149421314,84.0,0.7,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda1,3,6.309898483584571,68.76666666666667,0.6,6.889436403809941,68.13333333333334,0.6333333333333333,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps0.1,1,3.7158377621947527,96.56666666666666,0.43333333333333335,3.1395461260126067,25.433333333333334,0.36666666666666664,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps0.1,2,-1.4827692518926727,71.93333333333334,0.43333333333333335,5.134567332242312,31.833333333333332,0.3,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps0.1,3,2.790086677702311,50.9,0.5,4.640436667745923,24.066666666666666,0.36666666666666664,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps1,1,9.106271202501377,98.83333333333333,0.6,6.231214328939815,38.7,0.36666666666666664,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps1,2,3.667281174942356,44.666666666666664,0.3333333333333333,4.216106419846475,20.933333333333334,0.3,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps1,3,5.212116699062336,89.83333333333333,0.36666666666666664,5.170078335396974,34.43333333333333,0.36666666666666664,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps3,1,0.6896399077565883,29.0,0.3,1.174817057241757,12.233333333333333,0.16666666666666666,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps3,2,3.100429764613288,44.5,0.5666666666666667,1.559047678633931,24.633333333333333,0.26666666666666666,30,30
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps3,3,1.9850476480600456,50.36666666666667,0.3,1.5944325010814229,24.066666666666666,0.3,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda0.1,1,26.32402301971414,46.7,0.8333333333333334,26.218265716566638,61.166666666666664,0.8666666666666667,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda0.1,2,26.265074855168315,58.6,0.8333333333333334,26.78406566189203,61.36666666666667,0.9,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda0.1,3,27.03551812783394,53.233333333333334,0.8333333333333334,27.01985486106296,53.5,0.8,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda10,1,1.7153258693765832,10.1,0.1,0.09063969403657751,1.7,0.03333333333333333,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda10,2,-0.26038855505053904,7.066666666666666,0.06666666666666667,-1.175678015299882,4.833333333333333,0.06666666666666667,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda10,3,0.22719831125099765,8.566666666666666,0.1,1.3480465435453204,1.7,0.0,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda1,1,25.842190096025323,35.63333333333333,0.6333333333333333,25.925081091424325,47.86666666666667,0.7666666666666667,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda1,2,24.718130825916216,51.53333333333333,0.6333333333333333,23.32037730160534,49.8,0.8,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda1,3,25.446287284788948,41.1,0.5333333333333333,24.10847880669004,35.266666666666666,0.5666666666666667,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,safeot_eps0.1,1,22.93285713817443,44.3,0.7,22.367923507008566,41.8,0.6333333333333333,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,safeot_eps0.1,2,24.59544604265815,33.0,0.6,21.928804006852598,33.46666666666667,0.6,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,safeot_eps0.1,3,24.785363801395185,31.266666666666666,0.5333333333333333,22.901947416437917,29.533333333333335,0.36666666666666664,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,safeot_eps1,1,11.801834653105429,32.13333333333333,0.4666666666666667,10.869359078380489,21.133333333333333,0.3333333333333333,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,safeot_eps1,2,22.174188213316736,30.533333333333335,0.4666666666666667,17.06940694691881,22.033333333333335,0.43333333333333335,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,safeot_eps1,3,22.249079324237673,32.13333333333333,0.5,19.67592254220159,40.166666666666664,0.6333333333333333,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,safeot_eps3,1,14.122245911592515,26.633333333333333,0.43333333333333335,12.148477587176004,22.4,0.36666666666666664,30,30
runs_effect_v1,SafetyPointBuildingGoal1-v0,safeot_eps3,2,21.892976351928503,30.6,0.4666666666666667,17.587611404481805,26.033333333333335,0.4,30,30
