job,env,seed,arm,reward,success,joint,any_event,actual_steps,eval_steps,model_queries,model_transitions,seconds,effective_updates,pathwise_installations,PPO_installations,solver_recovery,query_exhaustion,cost0,event0,excess0,cost1,event1,excess1,cost2,event2,excess2
development_DiagReachK2_s180_DM,DiagReachK2,180,DM,9.086412495584804,1.0,1.0,0.0,12000,3744,384,92160,36.215315103530884,3,1,2,0,0,5.2155367242984285,0.0,0.0,4.949634921856416,0.0,0.0,,,
development_DiagReachK2_s180_DT,DiagReachK2,180,DT,9.494717745890412,1.0,0.9134615384615384,0.08653846153846154,12000,3744,317,76080,119.3383469581604,10,7,3,0,0,5.678835728229621,0.02564102564102564,0.00036971895103780656,5.7831921225939045,0.060897435897435896,0.00045438811310336,,,
development_DiagReachK2_s180_SM,DiagReachK2,180,SM,9.325999275572263,1.0,0.9967948717948718,0.003205128205128205,12000,3744,342,82080,36.90336275100708,5,2,3,0,0,5.745333972649696,0.003205128205128205,5.690460531120863e-06,5.6162763222669945,0.0,0.0,,,
development_DiagReachK2_s180_ST,DiagReachK2,180,ST,9.17522913926372,1.0,1.0,0.0,12000,3744,1838,441120,974.9229967594147,3,0,3,22,1,5.235887165252979,0.0,0.0,5.255769590536754,0.0,0.0,,,
development_DiagReachK2_s186_DM,DiagReachK2,186,DM,8.900919069966617,1.0,0.9903846153846154,0.009615384615384616,12000,3744,337,80880,35.24776554107666,7,3,4,0,0,5.66543681652118,0.009615384615384616,0.00013429257604810973,4.873511337316954,0.0,0.0,,,
development_DiagReachK2_s186_DT,DiagReachK2,186,DT,9.372246035301345,1.0,0.9871794871794872,0.01282051282051282,12000,3744,251,60240,110.81126689910889,8,6,2,0,0,5.547841501541627,0.003205128205128205,3.4671563368577226e-05,5.791726175027016,0.009615384615384616,4.672341876559835e-05,,,
development_DiagReachK2_s186_SM,DiagReachK2,186,SM,9.214076451137167,1.0,0.9839743589743589,0.016025641025641024,12000,3744,357,85680,40.870497941970825,7,1,6,0,0,5.316050885579525,0.0,0.0,5.7899266084035235,0.016025641025641024,5.876584949656406e-05,,,
development_DiagReachK2_s186_ST,DiagReachK2,186,ST,8.898005205502237,1.0,0.9583333333333334,0.041666666666666664,12000,3744,2418,580320,1237.8295040130615,6,0,6,23,2,5.7972562068547955,0.041666666666666664,0.00028867013434059717,4.550665529874655,0.0,0.0,,,
development_DiagReachK2_s187_DM,DiagReachK2,187,DM,8.994914557128094,1.0,0.9935897435897436,0.00641025641025641,12000,3744,318,76320,45.42519927024841,1,0,1,0,0,5.479942109340277,0.00641025641025641,6.0258767543694914e-05,5.352757533391316,0.0,0.0,,,
development_DiagReachK2_s187_DT,DiagReachK2,187,DT,9.428437853862757,1.0,0.9519230769230769,0.04807692307692308,12000,3744,261,62640,108.0492696762085,4,4,0,0,0,5.644057741531959,0.04487179487179487,0.0005796490571437738,5.675382375717163,0.003205128205128205,5.4762404189148185e-06,,,
development_DiagReachK2_s187_SM,DiagReachK2,187,SM,8.994914557128094,1.0,0.9935897435897436,0.00641025641025641,12000,3744,365,87600,38.548986196517944,1,0,1,0,0,5.479942109340277,0.00641025641025641,6.0258767543694914e-05,5.352757533391316,0.0,0.0,,,
development_DiagReachK2_s187_ST,DiagReachK2,187,ST,8.994914557128094,1.0,0.9935897435897436,0.00641025641025641,12000,3744,1643,394320,655.212867975235,1,0,1,25,0,5.479942109340277,0.00641025641025641,6.0258767543694914e-05,5.352757533391316,0.0,0.0,,,
development_DiagReachK3_s180_DM,DiagReachK3,180,DM,9.44747556165447,1.0,0.9134615384615384,0.08653846153846154,12000,3744,1012,242880,92.9413070678711,11,6,5,1,0,6.312227212465727,0.0,0.0,6.312219049686041,0.08653846153846154,0.0008487637931778599,11.583265295395485,0.0,0.0
