env,seed,cycle,anchor,kernel,raw_reward,shaped_reward,penalty,joint,success,any_event,cost_mean,event,excess
DiagReachK2,180,6,1,sample_old,7.328514827980462,5.680267492874328,1.6482473351061344,0.28125,0.46875,0.40625,"[4.611542355269194, 4.815670359414071]","[0.234375, 0.265625]","[0.059219541649023696, 0.060748022049665465]"
DiagReachK2,180,6,1,sample_timeKL,6.985692673873563,6.122984610077401,0.8627080637961626,0.328125,0.453125,0.265625,"[3.993137825280428, 4.288254601880908]","[0.140625, 0.15625]","[0.03440311302741368, 0.02853894730408986]"
DiagReachK2,180,6,1,sample_timeW2,6.9928118565127075,6.115845197533053,0.8769666589796543,0.34375,0.46875,0.265625,"[4.007747039198875, 4.299920208752155]","[0.140625, 0.15625]","[0.03486080467700958, 0.029222293446461364]"
DiagReachK2,180,6,1,sample_cfKL,7.060049154988883,6.1671580115402325,0.8928911434486508,0.328125,0.4375,0.265625,"[4.269289426505566, 4.145978244021535]","[0.171875, 0.125]","[0.041404397537310914, 0.024925302714109424]"
DiagReachK2,180,6,1,sample_cfW2,7.064711098811676,6.153402292422106,0.9113088063895702,0.328125,0.4375,0.28125,"[4.251971619203687, 4.193313932046294]","[0.171875, 0.140625]","[0.041066358486811325, 0.02637635792295138]"
DiagReachK2,180,6,1,det_old,9.169056631548848,9.169056631548848,0.0,1.0,1.0,0.0,"[5.2607922330498695, 5.24948288500309]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,6,1,det_timeKL,8.515866936960084,8.515866936960084,0.0,1.0,1.0,0.0,"[4.219644945114851, 4.4374712109565735]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,6,1,det_timeW2,8.537236400678374,8.537236400678374,0.0,1.0,1.0,0.0,"[4.244339410215616, 4.461537271738052]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,6,1,det_cfKL,8.70138700058451,8.70138700058451,0.0,1.0,1.0,0.0,"[4.6357685178518295, 4.194378513842821]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,6,1,det_cfW2,8.712805566754106,8.712805566754106,0.0,1.0,1.0,0.0,"[4.612810380756855, 4.274259582161903]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,18,3,sample_old,7.3756284250852335,6.0145303544562925,1.361098070628941,0.28125,0.4375,0.453125,"[4.985400952398777, 4.499196956399828]","[0.265625, 0.328125]","[0.07054557527105013, 0.03815541540582976]"
