arm,seeds,n,episodes,reward,reward_sd,hard_rate,hard_rate_sd,soft_cost,soft_cost_sd,soft_feasible_seeds,worst_seed_hard_cp95
approach_fixed_e1,"[1, 2, 3]",3,936,10.103715908198767,0.7351187438576496,0.023504273504273504,0.008066062430844817,0.9711538461538461,0.2948543751822289,3,0.05375958556380092
approach_lp_e0p1,"[1, 2, 3]",3,936,17.192927493741692,0.9560983068018711,0.021367521367521364,0.012134419542308277,23.72115384615385,6.647577298646917,1,0.05768311151830893
approach_lp_e1,"[1, 2, 3]",3,936,15.88223394671764,2.643644629972688,0.016025641025641028,0.011556254088025608,22.04594017094017,10.10281238170555,2,0.04979666906434444
approach_lp_e3,"[1, 2, 3]",3,936,17.432709999462976,1.0092357403320051,0.03205128205128205,0.009615384615384614,22.738247863247864,8.098530274625709,1,0.06543014235051427
distance_fixed_e1,"[1, 2, 3]",3,936,4.5291960215539575,1.3558383873320867,0.005341880341880341,0.0018504816320180312,0.36752136752136755,0.36768748730285655,3,0.02004035719137593
distance_lp_e0p1,"[1, 2, 3]",3,936,8.845808080129245,2.531269629707847,0.0032051282051282055,5.311484201212962e-19,13.188034188034187,9.038762345724882,3,0.015113773151500549
distance_lp_e1,"[1, 2, 3]",3,936,3.2550707932890544,2.4058044119939415,0.01388888888888889,0.008066062430844819,7.212606837606837,6.490325524686163,3,0.04172682166890226
distance_lp_e3,"[1, 2, 3]",3,936,9.600835381342387,2.4148417797978694,0.0021367521367521365,0.0018504816320180312,16.48290598290598,8.43487222779533,2,0.015113773151500549
