anchor,env,seed,cycle,candidate,channel,quantity,value,conditional_ci95_low,conditional_ci95_high
1,DiagReachK2,180,6,shapedKL,shaped,optimism_sample,3.015216407156808,2.7064355692273825,3.2864998123710842
1,DiagReachK2,180,6,shapedKL,shaped,optimism_det,4.20840507190413,4.192805359475638,4.226385917825914
1,DiagReachK2,180,6,shapedKL,shaped,Gsample,0.5279801652906828,0.25669676007640657,0.8367610032201085
1,DiagReachK2,180,6,shapedKL,shaped,Gdet,-0.6652084994566392,-0.6831893453784232,-0.6496087870281465
1,DiagReachK2,180,6,shapedKL,shaped,Ghold_timeLOO,0.4194431848219746,0.12568447460984017,0.7315604748820734
1,DiagReachK2,180,6,shapedKL,raw,optimism_sample,-0.050874497188546475,-0.10690945674373263,0.002947818645330476
1,DiagReachK2,180,6,shapedKL,raw,optimism_det,0.30134992707111036,0.28575021464261774,0.3193307729928944
1,DiagReachK2,180,6,shapedKL,raw,Gsample,-0.31298407519698235,-0.36680639103085944,-0.2569491156417963
1,DiagReachK2,180,6,shapedKL,raw,Gdet,-0.6652084994566392,-0.6831893453784232,-0.6496087870281465
1,DiagReachK2,180,6,shapedKL,raw,Ghold_timeLOO,-0.26297504462833016,-0.36361899694098504,-0.1605105045508237
1,DiagReachK2,180,6,shapedKL,penalty,optimism_sample,-3.0660909273152015,-3.347496321397159,-2.7387446296357325
1,DiagReachK2,180,6,shapedKL,penalty,optimism_det,-3.9070551678028664,-3.9070551678028664,-3.9070551678028664
1,DiagReachK2,180,6,shapedKL,penalty,Gsample,-0.8409642404876649,-1.168310538167134,-0.5595588464057074
1,DiagReachK2,180,6,shapedKL,penalty,Gdet,0.0,0.0,0.0
1,DiagReachK2,180,6,shapedKL,penalty,Ghold_timeLOO,-0.6824181775376174,-0.9753051007588621,-0.37707158598504653
1,DiagReachK2,180,6,shapedKL,cost_0,optimism_sample,-0.6728123124522076,-0.7366846209690825,-0.6127938491358341
1,DiagReachK2,180,6,shapedKL,cost_0,optimism_det,-0.23090966379464728,-0.23785283303083044,-0.22346969245196444
1,DiagReachK2,180,6,shapedKL,cost_0,Gsample,-0.5903786011040211,-0.6503970644203946,-0.5265062925871462
1,DiagReachK2,180,6,shapedKL,cost_0,Gdet,-1.0322812497615814,-1.0397212211042643,-1.0253380805253982
1,DiagReachK2,180,6,shapedKL,cost_0,Ghold_timeLOO,-0.6513877769033496,-0.8680454318189694,-0.42956370858991055
1,DiagReachK2,180,6,shapedKL,cost_1,optimism_sample,-0.49184945668171787,-0.5880339118194177,-0.4084261553835467
