margin_mode,epsilon,n,soft_feasible_seeds,reward_mean,reward_seed_sd,soft_cost_mean,soft_cost_seed_sd,hard_rate_mean,hard_rate_seed_sd
distance,0.1,3,3,8.47655433446914,0.559375572793356,13.883547008547007,8.615210724295679,0.0021367521367521365,0.0018504816320180314
distance,1,3,3,8.022351506425883,1.708921243342521,16.443376068376068,8.932574620712176,0.004273504273504273,0.003700963264036063
distance,3,3,2,8.072058091918548,1.8184626170233693,16.10576923076923,10.242596867898815,0.005341880341880341,0.00489591420401265
approach,0.1,3,0,21.649660828617176,0.04579471576678837,30.977564102564102,2.919766245383208,0.010683760683760682,0.007401926528072126
approach,1,3,1,21.784696906068262,0.3328980161071429,27.7767094017094,4.808553697761518,0.016025641025641024,0.003205128205128206
approach,3,3,1,21.469360476467287,0.14406422399124674,27.053418803418804,4.188357413830831,0.014957264957264958,0.006672006408545297
