job,env,seed,metric,estimator,cycle,selected_source,accepted,effective_update,middle_solver_accepted,middle_distance_active,recovery,reward_gain,reward_advantage_std,reward_advantage_mean,Jhat,predicted_cost,cost_advantage_std,baseline_seconds,solver_seconds,raw_KL,raw_W2
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,0,full_PPO,True,True,True,True,False,1.4278860683463888,2.004805642476605,-0.089415470693147,"[1.5594117641448975, 1.6262317895889282]","[2.162372448058007, 1.9628429271855952]","[1.4768442461009963, 1.6281454103660928]",0.004955084063112736,0.508030891418457,0.009999999860636629,0.011090105547212596
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,1,full_PPO,True,True,True,True,False,1.8640100477265,2.4700890609045,-0.17330110965887174,"[2.284193515777588, 2.948697566986084]","[3.2355110048387994, 2.7099762069598645]","[1.6587145642948702, 1.9946264382057255]",0.004120931029319763,0.39136290550231934,0.010000003285883215,0.013009727797199914
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,2,old,True,False,True,True,False,1.25420011475702,2.1994300621816874,-0.06766177596706734,"[4.29714298248291, 4.123237609863281]","[3.819424427414081, 3.173213817885307]","[1.7091050158920644, 1.8802370604518985]",0.004062533378601074,0.40234875679016113,0.009999999631142398,0.01173669320067481
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,3,old,True,False,True,True,False,2.862504502055103,3.55313191464965,-0.34601491309455223,"[4.2287678718566895, 3.1495063304901123]","[3.730391483363199, 2.314163939362825]","[1.368144649976563, 2.045257052927675]",0.004020083695650101,0.41228818893432617,0.009999998818670417,0.014606766372835108
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,4,full_PPO,True,True,True,True,False,1.0033077998885804,1.5813676619680825,-0.045890926286326295,"[4.229766368865967, 3.3824381828308105]","[4.521868001518731, 4.347889362750486]","[1.4705749577189455, 1.5089549494539605]",0.00428449921309948,0.39705657958984375,0.009999999790363022,0.012482848154302938
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,5,old,True,False,True,True,False,1.2411418104571759,2.1002158243894278,-0.10049231605218217,"[4.106780052185059, 4.595884323120117]","[4.133068652987034, 4.169222395409699]","[1.7161747213498448, 2.0222979857711194]",0.004292640835046768,0.388749361038208,0.010000000360332863,0.013953631995961894
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,6,old,True,False,True,True,False,3.3941831303713075,4.5594968021458655,-0.35575302315859514,"[5.597563743591309, 5.0062456130981445]","[4.675251871633596, 3.934002680006023]","[1.7449275962295017, 1.5198210107840435]",0.004447439685463905,0.40971827507019043,0.010000000166455232,0.012407961444841187
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,7,joint_KL,True,True,True,True,False,0.948328848405971,1.4072391103589867,-0.07154398387713433,"[3.940136671066284, 4.472141265869141]","[4.7184800138485725, 4.2387223603608515]","[1.752904569431147, 1.8226923784546187]",0.004373466596007347,0.3996100425720215,0.010000003886911905,0.010055928860741548
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,8,old,True,False,True,True,False,0.6972271979008695,1.0736537086076394,-0.04675403056968033,"[4.689210414886475, 4.166357040405273]","[4.580619455392631, 4.413989678193318]","[1.5491023684392502, 1.5136116576861396]",0.004147089086472988,0.42642712593078613,0.010000001064934622,0.010076308849098603
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,9,old,True,False,True,True,False,0.7966335807435598,1.4055467972290787,-0.003115040728544995,"[5.514498710632324, 5.016975402832031]","[5.677956137343356, 4.324526574944359]","[0.9897914258477888, 1.4792085189747353]",0.004188925959169865,0.38640928268432617,0.009999999428001182,0.013313448736626455
