env,seed,cycle,anchor,kernel,channel,budget,mean_cost,cost_over_budget,q50,q90,q95,q99,event,positive_excess,any_event,success,joint,raw_reward,shaped_reward,penalty,mean_feasible_with_events
DiagReachK2,180,0,0,sample_old,0,6.0,1.531275987625122,0.255212664604187,0.7266139984130859,4.204840183258057,5.20099401473999,5.810682773590088,0.0,0.0,0.0546875,0.1015625,0.09375,3.7778470516204834,3.671470880508423,0.10637637227773666,True
DiagReachK2,180,0,0,sample_old,1,6.0,1.9394581317901611,0.32324302196502686,1.2171300649642944,4.882697582244873,6.385731220245361,7.288754463195801,0.0546875,0.009592970212300619,0.0546875,0.1015625,0.09375,3.7778470516204834,3.671470880508423,0.10637637227773666,True
DiagReachK2,180,0,0,sample_KL,0,6.0,1.7732012271881104,0.29553353786468506,1.121294379234314,4.655758857727051,5.432600498199463,6.138235092163086,0.0234375,0.0008018097529808674,0.09375,0.1015625,0.078125,4.263275146484375,4.0979766845703125,0.16529808938503265,True
DiagReachK2,180,0,0,sample_KL,1,6.0,2.244380235671997,0.3740633726119995,1.5952147245407104,5.035531997680664,6.860014915466309,7.709585666656494,0.0703125,0.013860019544760387,0.09375,0.1015625,0.078125,4.263275146484375,4.0979766845703125,0.16529808938503265,True
DiagReachK2,180,0,0,sample_W2,0,6.0,1.758165717124939,0.2930276195208232,1.1067571640014648,4.6183600425720215,5.416141033172607,6.089919090270996,0.015625,0.0005498963097731284,0.0859375,0.109375,0.0859375,4.27769660949707,4.116816520690918,0.1608797311782837,True
DiagReachK2,180,0,0,sample_W2,1,6.0,2.2545902729034424,0.37576504548390705,1.6396211385726929,5.0740132331848145,6.8307271003723145,7.675975799560547,0.0703125,0.013548875227570534,0.0859375,0.109375,0.0859375,4.27769660949707,4.116816520690918,0.1608797311782837,True
DiagReachK2,180,0,0,sample_KL_mean,0,6.0,1.8453400135040283,0.30755666891733807,1.1636841297149658,4.728382110595703,5.529387950897217,6.356296062469482,0.0390625,0.0017875315000613519,0.109375,0.1015625,0.078125,4.31599760055542,4.146396636962891,0.16960085928440094,True
DiagReachK2,180,0,0,sample_KL_mean,1,6.0,2.243082046508789,0.37384700775146484,1.6329631805419922,5.060109615325928,6.7869720458984375,7.6829423904418945,0.0703125,0.01323149229089419,0.109375,0.1015625,0.078125,4.31599760055542,4.146396636962891,0.16960085928440094,True
DiagReachK2,180,0,0,sample_KL_std,0,6.0,1.4559537172317505,0.2426589528719584,0.6540484428405762,3.946532726287842,5.0029401779174805,5.655755519866943,0.0,0.0,0.0625,0.1015625,0.0859375,3.7156105041503906,3.6056504249572754,0.10995988547801971,True
DiagReachK2,180,0,0,sample_KL_std,1,6.0,1.9404281377792358,0.3234046896298726,1.2222682237625122,4.870024681091309,6.4662981033325195,7.362216472625732,0.0625,0.010101804509758946,0.0625,0.1015625,0.0859375,3.7156105041503906,3.6056504249572754,0.10995988547801971,True
DiagReachK2,180,0,0,sample_W2_mean,0,6.0,1.8451462984085083,0.3075243830680847,1.1589322090148926,4.712407112121582,5.518809795379639,6.335546493530273,0.0390625,0.0015924361844857522,0.109375,0.109375,0.0859375,4.334056854248047,4.162087440490723,0.17196916043758392,True
DiagReachK2,180,0,0,sample_W2_mean,1,6.0,2.2656500339508057,0.37760833899180096,1.650071620941162,5.1312174797058105,6.8040242195129395,7.680208206176758,0.0703125,0.013418051724632582,0.109375,0.109375,0.0859375,4.334056854248047,4.162087440490723,0.17196916043758392,True
DiagReachK2,180,0,0,sample_W2_std,0,6.0,1.4392271041870117,0.2398711840311686,0.6374098658561707,3.9171793460845947,4.950477600097656,5.597620487213135,0.0,0.0,0.0546875,0.09375,0.0859375,3.7051875591278076,3.6014370918273926,0.10375045239925385,True
DiagReachK2,180,0,0,sample_W2_std,1,6.0,1.9244740009307861,0.32074566682179767,1.207373857498169,4.834982872009277,6.413245677947998,7.323060035705566,0.0546875,0.009604901696244873,0.0546875,0.09375,0.0859375,3.7051875591278076,3.6014370918273926,0.10375045239925385,True
DiagReachK2,180,0,0,det_old,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.470975399017334,2.470975399017334,0.0,False
DiagReachK2,180,0,0,det_old,1,6.0,0.30343109369277954,0.05057184894879659,0.29617249965667725,0.4446638822555542,0.4744223952293396,0.5680079460144043,0.0,0.0,0.0,0.0,0.0,2.470975399017334,2.470975399017334,0.0,False
DiagReachK2,180,0,0,det_KL,0,6.0,0.08382245898246765,0.013970409830411276,0.0694161057472229,0.1756458878517151,0.2043743133544922,0.2384052723646164,0.0,0.0,0.0,0.0,0.0,3.79496431350708,3.79496431350708,0.0,False
DiagReachK2,180,0,0,det_KL,1,6.0,0.9289940595626831,0.15483234326044717,0.9228148460388184,1.135138750076294,1.1676651239395142,1.2483493089675903,0.0,0.0,0.0,0.0,0.0,3.79496431350708,3.79496431350708,0.0,False
