env,metric,seed,channel,Gtrain,GholdLR,GholdLR_lo,GholdLR_hi,Gsample,Gsample_lo,Gsample_hi,Gdet,Gdet_lo,Gdet_hi,T,T_lo,T_hi,L,L_lo,L_hi,K,K_lo,K_hi,mean_only,mean_only_lo,mean_only_hi,std_only,std_only_lo,std_only_hi,interaction,interaction_lo,interaction_hi,median_abs_T,signed_sum_T,absolute_sum_T,median_abs_L,signed_sum_L,absolute_sum_L,median_abs_K,signed_sum_K,absolute_sum_K,train_positive_GholdLR_nonpositive,train_positive_Gsample_nonpositive,train_positive_Gdet_nonpositive
DiagReachK2,KL,180,shaped,1.84901520757709,0.24208553374924996,0.10581323381255074,0.3714771661593066,0.22870330214500428,0.16857544515281916,0.2958236698806285,0.09967413395643235,0.09427092280238868,0.10446795288473368,1.6069296738278402,1.4775380414177834,1.7432019737645397,0.013382231604245686,-0.11015225924674404,0.12589074270156098,0.12902918457984924,0.07285811897367239,0.19439294263720508,0.21489670872688293,0.15592354943975806,0.28222957521677017,0.01291557215154171,0.004228256912901998,0.021684147361665962,0.0008910475298762321,-0.004272107188589871,0.00581650704145431,1.0387753717765027,8.034648369139202,8.034648369139202,0.0663423226932329,0.06691115802122843,0.37079311536614423,0.31986474990844727,0.6451459228992462,2.8134144246578217,1,1,4
DiagReachK2,KL,180,raw,0.3879198593205072,0.12077271547566301,0.0757527735986674,0.16553811123448067,0.11379506215453147,0.09762717390432954,0.1330332687497139,0.1185349702835083,0.11483468398451806,0.12197726842015981,0.26714714384484417,0.22238174808602637,0.3121670857218397,0.006977653321131536,-0.039227428795724946,0.052691106402477254,-0.004739907383918762,-0.020703860595822333,0.014177113398909548,0.10960706174373627,0.09423010345548392,0.12893405575305222,0.0052197672426700596,0.001277239415794611,0.008976534344255922,-0.0010317543521523476,-0.0022157955169677733,0.00022066087462007845,0.07175766509960596,1.3357357192242207,1.578393070383849,0.01880085553223415,0.03488826660565768,0.16930657989795028,0.23611851036548615,-0.02369953691959381,1.6534225791692734,0,0,3
DiagReachK2,KL,180,penalty,-1.4610953145000574,-0.12131283185163313,-0.2587721447308452,0.008329103807194227,-0.11490819752216339,-0.18379489031154664,-0.0549723322456703,0.01886083222925663,0.01565482278354466,0.022370460247620936,-1.3397824826484244,-1.4694244183072518,-1.2023231697692127,-0.006404634329469733,-0.12343190980347776,0.1173172712744641,-0.13376903235912324,-0.20188568911980836,-0.07454545748420063,-0.1052896123379469,-0.16923340247012675,-0.04682630925904961,-0.007695803511887788,-0.016602879704441877,0.00027702583465725013,-0.0019228113815188408,-0.006983323951717467,0.0032045867876149704,1.0000480092433854,-6.698912413242122,6.698912413242122,0.06472630491282588,-0.032023171647348664,0.5214816502650466,0.21646389365196228,-0.6688451617956161,1.6322290003299713,0,0,0
DiagReachK2,KL,180,cost_0,0.09865462529789056,0.06509404850411864,0.004211920827402979,0.12157323749501617,0.07612346708774567,0.0624364348500967,0.09035773821175098,0.007430125772953033,0.004874195083975792,0.009833311140537261,0.033560576793771904,-0.02291861219712567,0.09444270447048755,-0.011029418583627016,-0.07357622074602731,0.04853180235557031,0.06869333982467651,0.05435803808271885,0.08290931969881057,0.08544542342424392,0.07105022981762886,0.10066510543227195,-0.008769069984555244,-0.013942322137299925,-0.0035990988509729542,-0.0005528934299945832,-0.0019562123715877533,0.0007084982912056146,0.2659597282343663,0.16780288396885953,1.4910187409491897,0.0480636338015632,-0.05514709291813508,0.2574568150601998,0.1581026315689087,0.34346669912338257,0.8661611378192902,0,0,0
DiagReachK2,KL,180,cost_1,-0.08538001631950029,0.0821626804119515,0.00952399425409522,0.1536451103469152,0.011895298957824707,-0.01209175869822502,0.033546612039208376,-0.017761200666427612,-0.02068070448935032,-0.015256362184882166,-0.16754269673145178,-0.2390251266664155,-0.09490401057359553,0.07026738145412678,0.004922637445349359,0.14289521941037006,0.02965649962425232,0.005988129451870918,0.05090536732226608,0.0004034459590911865,-0.021487305238842964,0.021706285551190373,0.020047561405226587,0.016003530648304152,0.02405698632239364,-0.00855577695183456,-0.009909773683175445,-0.007292807151097806,0.42609911784303567,-0.837713483657259,2.02074283500748,0.10526989972084322,0.35133690727063394,0.5328754425784086,0.23473647236824036,0.1482824981212616,0.9551431834697723,0,0,0
DiagReachK2,W2,180,shaped,1.878001116587626,0.23526208132837603,0.09696008928361431,0.37546334793873554,0.22526199817657472,0.16490323878824711,0.2933538116514681,0.08823459893465042,0.08172454819083214,0.09374839246273041,1.6427390352592497,1.50253776864889,1.7810410273040114,0.010000083151801342,-0.11899637410755051,0.12954671118736782,0.13702741861343384,0.07952451959252357,0.20441127888858318,0.20831563770771028,0.14877278119325638,0.27579278033226723,0.015439380146563052,0.006043381998315453,0.024762532245367765,0.0015069535002112389,-0.004359906213358045,0.006693792976438993,1.0948544584478834,8.213695176296248,8.213695176296248,0.06664075654348892,0.05000041575900671,0.4175972912931153,0.33067816495895386,0.6851370930671692,2.781185209751129,1,1,4
DiagReachK2,W2,180,raw,0.4094830796196554,0.12406641888627298,0.0775035838791915,0.17382118481408332,0.11942185908555984,0.10272043151780963,0.13881042389199139,0.11867413818836212,0.11492115549743176,0.12213335450738669,0.28541666073338245,0.23566189480557204,0.3319794957404638,0.004644559800713146,-0.04327068074350107,0.05365284730095551,0.0007477134466171264,-0.01583433812484145,0.019751618765294517,0.11456651166081429,0.09899266440421342,0.13400894582271575,0.004797039926052094,0.0006751712784171105,0.008768997006118297,5.836822092533112e-05,-0.0012054425943642854,0.0013983177207410329,0.08133437651685335,1.4270833036669122,1.6898939079673543,0.01869802345150623,0.023222799003565733,0.19138495088785407,0.27296948432922363,0.0037385672330856323,1.6667513102293015,0,0,3
DiagReachK2,W2,180,penalty,-1.4685180019786033,-0.11119567710717504,-0.2548101573663012,0.031046385238110336,-0.10584006756544113,-0.1765809730347246,-0.043706150222569726,0.030439535900950433,0.02640990937128663,0.03510671753436327,-1.3573223248714286,-1.499564387216714,-1.2137078446123026,-0.005355609541733919,-0.13040565742030868,0.125372293183622,-0.13627960234880448,-0.2063024654891342,-0.07502940648235387,-0.09374911785125732,-0.1600274140201509,-0.03509913718327881,-0.01064232774078846,-0.02011287091765553,-0.002021349666174505,-0.0014485950581729413,-0.006885228150058538,0.004267453188076615,1.0198202593277697,-6.786611624357143,6.786611624357143,0.06222119412573479,-0.026778047708669594,0.5295305270396269,0.23292823135852814,-0.6813980117440224,1.6603726670145988,0,0,0
DiagReachK2,W2,180,cost_0,0.11021031984111347,0.06467898915972024,0.0020220297773031197,0.12392559273686693,0.07621212601661682,0.0623070077598095,0.09037488974630832,0.009528468549251556,0.007038552388548851,0.011909491159021854,0.04553133068139323,-0.013715272895753508,0.10818829006381027,-0.01153313685689658,-0.07739250788425739,0.05137651790479816,0.06668365895748138,0.052552243657410146,0.08086452610790727,0.08763867020606994,0.07310976468026638,0.10287811622023582,-0.011372482776641846,-0.01719153210055083,-0.005861722538247709,-5.408534780144691e-05,-0.0015847170539200306,0.001387306796386838,0.3047373995453463,0.22765665340696614,1.533671738291689,0.04282383741177559,-0.057665684284482904,0.26398978954153074,0.14854320883750916,0.3334182947874069,0.8357759863138199,0,0,0
DiagReachK2,W2,180,cost_1,-0.05759652828243914,0.09522137785448112,0.021633540344348827,0.17165456007313365,0.019263184070587157,-0.004915255084633827,0.042205417677760114,-0.0026620566844940186,-0.005695629939436913,-9.471461176872444e-05,-0.15281790613692028,-0.2292510883555728,-0.07923006862678811,0.07595819378389396,0.010248246354193385,0.1547997251222914,0.02192523777484894,-0.001914941295981407,0.04482155621051786,0.010206648707389831,-0.012127894833683968,0.032268959321081626,0.01753410305827856,0.013249227362684905,0.02185023825615644,-0.008477511908859014,-0.009958382970653474,-0.007040275707840921,0.43507254670864465,-0.7640895306846014,2.0975904284719276,0.10425283590047285,0.3797909689194698,0.5646082096100318,0.251797616481781,0.10962618887424469,0.9987030178308487,0,0,0
