env,seed,metric,combo,inner_reward,outer_reward,job,cycle,steps,phase,episodes,raw_reward,shaped_reward,penalty,joint,any_event,cost_mean,event,excess
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,6,3360,acceptance,8,9.199251316770095,9.199251316770095,0.0,1.0,0.0,"[5.548001766204834, 5.498401463031769]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,7,3840,exploration,20,7.166507916532282,5.163478644572024,2.0030292719602585,0.15,0.45,"[4.67913926243782, 4.589844197034836]","[0.25, 0.25]","[0.058073039849599196, 0.06639204025268555]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,7,3840,selection,12,9.164809058102156,8.865147526057745,0.2996615320444107,0.6666666666666666,0.3333333333333333,"[6.117089072863261, 5.0731310447057085]","[0.3333333333333333, 0.3333333333333333]","[0.03598229752646551, 0.008727762434217653]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,7,3840,acceptance,8,9.290430692568771,9.290430692568771,0.0,1.0,0.0,"[5.727046966552734, 5.5148903131484985]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,8,4320,exploration,20,7.534103471094275,6.224155473762657,1.3099479973316193,0.3,0.45,"[4.90655837059021, 4.592716455459595]","[0.3, 0.3]","[0.05403567155202229, 0.046191294987996415]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,8,4320,selection,12,9.08882771512314,8.889983391567512,0.19884432355562845,0.6666666666666666,0.3333333333333333,"[5.790786266326904, 4.9860948125521345]","[0.3333333333333333, 0.0]","[0.029687152968512653, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,8,4320,acceptance,8,9.35121294169221,9.35121294169221,0.0,1.0,0.0,"[5.786824703216553, 5.630091547966003]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,9,4800,exploration,20,7.943235469945066,6.20799229849159,1.735243171453476,0.05,0.85,"[5.667994201183319, 5.262407523393631]","[0.45, 0.4]","[0.06038707097371419, 0.07518748044967652]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,9,4800,selection,12,9.006189532449936,8.802461179466142,0.20372835298379263,0.5833333333333334,0.4166666666666667,"[5.775909582773845, 5.058541337649028]","[0.4166666666666667, 0.0]","[0.030905531512366396, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,9,4800,acceptance,8,8.829701223813753,8.829701223813753,0.0,1.0,0.0,"[5.284607350826263, 4.716274946928024]","[0.0, 0.0]","[0.0, 0.0]"
