job,env,seed,metric,scale,reward,success,joint,cost,event,excess,any_event,steps,eval_episodes,effective_updates,selected_joint,installed_joint,selected_old,distance_active,paired_candidate_different,worker_seconds,exit_code,command
development_DiagReachK2_s186_W2_s1,DiagReachK2,186,W2,1.0,9.108127078625168,1.0,0.9583333333333334,"[5.280164179129478, 5.888227513203254]","[0.0, 0.041666666666666664]","[0.0, 0.00010461557624686383]",0.041666666666666664,12000,312,12,7,6,12,25,25,66.15651392936707,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s186_W2_s1/job.json""]"
development_DiagReachK2_s186_W2_s2,DiagReachK2,186,W2,2.0,8.740782838787633,1.0,1.0,"[3.948175214804136, 5.333238782026829]","[0.0, 0.0]","[0.0, 0.0]",0.0,12000,312,7,6,5,16,24,24,49.00908064842224,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s186_W2_s2/job.json""]"
development_DiagReachK2_s187_KL_s0.5,DiagReachK2,187,KL,0.5,9.317222005747055,1.0,1.0,"[5.598914449031536, 5.540265561678471]","[0.0, 0.0]","[0.0, 0.0]",0.0,12000,312,7,6,5,17,25,25,48.27934765815735,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s187_KL_s0.5/job.json""]"
development_DiagReachK2_s187_KL_s1,DiagReachK2,187,KL,1.0,9.085808356854418,1.0,1.0,"[5.333712535026746, 5.4189971058796615]","[0.0, 0.0]","[0.0, 0.0]",0.0,12000,312,6,4,4,19,25,25,69.68200182914734,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s187_KL_s1/job.json""]"
development_DiagReachK2_s187_KL_s2,DiagReachK2,187,KL,2.0,8.994914557128094,1.0,0.9935897435897436,"[5.479942109340277, 5.352757533391316]","[0.00641025641025641, 0.0]","[6.0258767543694914e-05, 0.0]",0.00641025641025641,12000,312,1,0,0,23,25,25,59.62598896026611,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s187_KL_s2/job.json""]"
development_DiagReachK2_s187_W2_s0.5,DiagReachK2,187,W2,0.5,9.472198227294118,1.0,0.967948717948718,"[5.767192290379451, 5.619921445846558]","[0.03205128205128205, 0.0]","[0.00033932363885080666, 0.0]",0.03205128205128205,12000,312,5,5,3,18,25,25,45.405309438705444,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s187_W2_s0.5/job.json""]"
development_DiagReachK2_s187_W2_s1,DiagReachK2,187,W2,1.0,9.370335932867507,1.0,1.0,"[5.402620552442013, 5.7380793919930095]","[0.0, 0.0]","[0.0, 0.0]",0.0,12000,312,4,4,3,20,25,25,67.45377802848816,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s187_W2_s1/job.json""]"
development_DiagReachK2_s187_W2_s2,DiagReachK2,187,W2,2.0,8.994914557128094,1.0,0.9935897435897436,"[5.479942109340277, 5.352757533391316]","[0.00641025641025641, 0.0]","[6.0258767543694914e-05, 0.0]",0.00641025641025641,12000,312,1,0,0,23,25,25,46.52208161354065,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK2_s187_W2_s2/job.json""]"
development_DiagReachK3_s180_KL_s0.5,DiagReachK3,180,KL,0.5,9.35147568804501,1.0,1.0,"[5.974335513053796, 6.03849254663174, 10.879508608426804]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,12000,312,8,4,4,17,25,25,59.247294664382935,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s180_KL_s0.5/job.json""]"
development_DiagReachK3_s180_KL_s1,DiagReachK3,180,KL,1.0,9.58591162553945,1.0,1.0,"[6.642556499212216, 5.837701782202109, 11.408811474457766]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,12000,312,9,6,4,14,25,25,86.01187491416931,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s180_KL_s1/job.json""]"
