seed,setting,file,sha256,n,reward,hard_k,hard_rate,hard_cp95,soft_cost,soft_mean_feasible,soft_episode_exceedance,hard_simultaneous_cp95
1,native,remote/outputs/PG2_fdpi_lp_m0.83sched_r2_s1/strict_eval_filterK0_pf0.02_params_1990002.json,5cff14e685afee635b7c5bd206912e468a3f5a19ca58743a291827add1dce62c,624,11.49875929843901,12,0.019230769230769232,0.03097207163586234,17.439102564102566,True,0.27564102564102566,0.034664911717933546
1,random,remote/outputs/PG2_fdpi_lp_m0.83sched_r2_s1/strict_eval_filterRANDK16_params_1990002.json,d8269c10f712ebf552b6bc8724f15d4ef2a9fd6abf31e270a19824de738ff008,624,12.761974477123344,17,0.027243589743589744,0.04058535805592975,20.716346153846153,True,0.3108974358974359,0.04473308725317714
1,safeot_filter,remote/outputs/PG2_fdpi_lp_m0.83sched_r2_s1/strict_eval_filterK16_pf0.02_params_1990002.json,43a28cf1a552c2bb0a68e42e5f105d93895f365844d6c38d03d71c0d304dacd2,624,11.703074412772619,4,0.00641025641025641,0.014608608149117661,16.221153846153847,True,0.2483974358974359,0.017298431706989414
2,native,remote/outputs/PG2_fdpi_lp_m0.83sched_r2_s2/strict_eval_filterK0_pf0.02_params_1990002.json,86d97811b66598e2dd667062c7efde7475bcc04c6a20718f723399334e71f663,624,9.186840651705737,11,0.017628205128205128,0.02901016627612232,14.842948717948717,True,0.20512820512820512,0.03260092168672651
2,random,remote/outputs/PG2_fdpi_lp_m0.83sched_r2_s2/strict_eval_filterRANDK16_params_1990002.json,9aae8adf0452962bec6020394ca1fdbcebf32c089b8386bf8edb37e5666cbe85,624,9.33862135043803,25,0.04006410256410257,0.05550880977042922,14.701923076923077,True,0.23076923076923078,0.060253948248747996
2,safeot_filter,remote/outputs/PG2_fdpi_lp_m0.83sched_r2_s2/strict_eval_filterK16_pf0.02_params_1990002.json,06a88408421218bd20e774d889e72befbf00d7fdcafe21b0f1aabe82a74513b8,624,9.08480214735223,5,0.008012820512820512,0.016773475042134507,14.241987179487179,True,0.21634615384615385,0.01962165805801333
3,native,remote/outputs/PG2_fdpi_lp_m0.83sched_r2_s3/strict_eval_filterK0_pf0.02_params_1990002.json,78c5cc01df9bdd823e5b8f68d769645ac881123120727da52db36771a81bd950,624,11.229133574121876,8,0.01282051282051282,0.02301324751471279,18.01923076923077,True,0.2516025641025641,0.02626650451776498
3,random,remote/outputs/PG2_fdpi_lp_m0.83sched_r2_s3/strict_eval_filterRANDK16_params_1990002.json,d429c537ca5a59ee0622f59fdafff6a0704ee846c509af50dc3247803e02c533,624,11.76296744378926,13,0.020833333333333332,0.032919038893985696,17.796474358974358,True,0.2900641025641026,0.036709746426854394
3,safeot_filter,remote/outputs/PG2_fdpi_lp_m0.83sched_r2_s3/strict_eval_filterK16_pf0.02_params_1990002.json,4ef4747e8e71bfbbe2efb9bf98e595660adca00e2f5f425d24b8da07ca97b19b,624,10.681581111383103,4,0.00641025641025641,0.014608608149117661,16.5625,True,0.2676282051282051,0.017298431706989414
