env,seed,metric,combo,inner_reward,outer_reward,job,reward,success,joint,any_event,cost_mean,event,excess,counterfactual_shaped_reward,penalty,gradient_steps,selection_steps,acceptance_steps,actual_steps,PPO_optimizer_steps,installs,middle_selected,middle_installed,selection_reward_flips,acceptance_reward_flips,wall_seconds_training_finaleval
DiagReachK2,187,KL,SR,shaped,raw,development_DiagReachK2_s187_KL_SR,9.085808356854418,1.0,1.0,0.0,"[5.333712535026746, 5.4189971058796615]","[0.0, 0.0]","[0.0, 0.0]",9.085808356854418,0.0,6000,3600,2400,12000,360,6,4,4,0,0,34.57874917984009
DiagReachK2,187,KL,SS,shaped,shaped,development_DiagReachK2_s187_KL_SS,9.085808356854418,1.0,1.0,0.0,"[5.333712535026746, 5.4189971058796615]","[0.0, 0.0]","[0.0, 0.0]",9.085808356854418,0.0,6000,3600,2400,12000,360,6,4,4,0,0,33.22596764564514
DiagReachK2,187,W2,RR,raw,raw,development_DiagReachK2_s187_W2_RR,8.994914557128094,1.0,0.9935897435897436,0.00641025641025641,"[5.479942109340277, 5.352757533391316]","[0.00641025641025641, 0.0]","[6.0258767543694914e-05, 0.0]",8.994613263290375,0.00030129383771847456,6000,3600,2400,12000,384,1,0,0,0,0,35.94219923019409
DiagReachK2,187,W2,RS,raw,shaped,development_DiagReachK2_s187_W2_RS,8.994914557128094,1.0,0.9935897435897436,0.00641025641025641,"[5.479942109340277, 5.352757533391316]","[0.00641025641025641, 0.0]","[6.0258767543694914e-05, 0.0]",8.994613263290375,0.00030129383771847456,6000,3600,2400,12000,384,1,0,0,0,0,38.33386826515198
DiagReachK2,187,W2,SR,shaped,raw,development_DiagReachK2_s187_W2_SR,9.370335932867507,1.0,1.0,0.0,"[5.402620552442013, 5.7380793919930095]","[0.0, 0.0]","[0.0, 0.0]",9.370335932867507,0.0,6000,3600,2400,12000,364,4,4,3,0,0,56.4090051651001
DiagReachK2,187,W2,SS,shaped,shaped,development_DiagReachK2_s187_W2_SS,9.370335932867507,1.0,1.0,0.0,"[5.402620552442013, 5.7380793919930095]","[0.0, 0.0]","[0.0, 0.0]",9.370335932867507,0.0,6000,3600,2400,12000,364,4,4,3,0,0,33.05551052093506
DiagReachK3,180,KL,RR,raw,raw,development_DiagReachK3_s180_KL_RR,9.637614421992792,1.0,0.9967948717948718,0.003205128205128205,"[6.676085574504657, 6.0904328884222565, 11.710957190929316]","[0.003205128205128205, 0.0, 0.0]","[1.3161054897655648e-06, 0.0, 0.0]",9.637607840646599,6.581346193949382e-06,6000,3600,2400,12000,364,10,5,5,0,0,41.010947942733765
DiagReachK3,180,KL,RS,raw,shaped,development_DiagReachK3_s180_KL_RS,9.637614421992792,1.0,0.9967948717948718,0.003205128205128205,"[6.676085574504657, 6.0904328884222565, 11.710957190929316]","[0.003205128205128205, 0.0, 0.0]","[1.3161054897655648e-06, 0.0, 0.0]",9.637607840646599,6.581346193949382e-06,6000,3600,2400,12000,364,10,5,5,0,0,73.92967510223389
DiagReachK3,180,KL,SR,shaped,raw,development_DiagReachK3_s180_KL_SR,9.58591162553945,1.0,1.0,0.0,"[6.642556499212216, 5.837701782202109, 11.408811474457766]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.58591162553945,0.0,6000,3600,2400,12000,344,9,6,4,0,0,55.48548197746277
DiagReachK3,180,KL,SS,shaped,shaped,development_DiagReachK3_s180_KL_SS,9.58591162553945,1.0,1.0,0.0,"[6.642556499212216, 5.837701782202109, 11.408811474457766]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.58591162553945,0.0,6000,3600,2400,12000,344,9,6,4,0,0,43.24523663520813
DiagReachK3,180,W2,RR,raw,raw,development_DiagReachK3_s180_W2_RR,9.57039835321139,1.0,1.0,0.0,"[6.513550072144239, 5.921255010824937, 11.417883286109337]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.57039835321139,0.0,6000,3600,2400,12000,344,9,5,5,0,0,41.449087142944336
DiagReachK3,180,W2,RS,raw,shaped,development_DiagReachK3_s180_W2_RS,9.57039835321139,1.0,1.0,0.0,"[6.513550072144239, 5.921255010824937, 11.417883286109337]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.57039835321139,0.0,6000,3600,2400,12000,344,9,5,5,0,0,40.878568172454834
DiagReachK3,180,W2,SR,shaped,raw,development_DiagReachK3_s180_W2_SR,9.520693210749078,1.0,1.0,0.0,"[6.34408733019462, 6.093345953867986, 11.364460890109722]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.520693210749078,0.0,6000,3600,2400,12000,324,10,7,5,0,0,41.30225658416748
DiagReachK3,180,W2,SS,shaped,shaped,development_DiagReachK3_s180_W2_SS,9.520693210749078,1.0,1.0,0.0,"[6.34408733019462, 6.093345953867986, 11.364460890109722]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.520693210749078,0.0,6000,3600,2400,12000,324,10,7,5,0,0,45.01819038391113
DiagReachK3,186,KL,RR,raw,raw,development_DiagReachK3_s186_KL_RR,9.610413685116285,1.0,1.0,0.0,"[6.635028346990928, 6.2040528655052185, 11.742334463657476]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.610413685116285,0.0,6000,3600,2400,12000,320,6,4,2,0,0,44.02936267852783
DiagReachK3,186,KL,RS,raw,shaped,development_DiagReachK3_s186_KL_RS,9.610413685116285,1.0,1.0,0.0,"[6.635028346990928, 6.2040528655052185, 11.742334463657476]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.610413685116285,0.0,6000,3600,2400,12000,320,6,4,2,0,0,41.769922733306885
