env,seed,contrast,reward,counterfactual_shaped_eval_reward,success,joint,cost,event,excess
DiagReachK2,180,risk_on_A,0.0,0.0,0.0,0.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,support_on_mean,0.024011963284246818,0.011502936838988731,0.0,-0.20512820512820507,"[0.175811804257906, -0.2988972877844791]","[0.20512820512820512, 0.0]","[0.0025018063875345054, 0.0]"
DiagReachK2,180,risk_on_B,-0.03116593963660108,-0.017151502844876987,0.0,0.23397435897435892,"[-0.7660876955741491, 0.4545511817320804]","[-0.23397435897435898, 0.0]","[-0.002802888807068521, 0.0]"
DiagReachK2,180,interaction,-0.03116593963660108,-0.01715150284487521,0.0,0.23397435897435903,"[-0.76608769557415, 0.4545511817320804]","[-0.23397435897435898, 0.0]","[-0.002802888807068521, 0.0]"
DiagReachK2,186,risk_on_A,-0.18409081541888916,-0.17530280792428599,0.0,0.1891025641025641,"[-0.3822176043803882, -0.05955904263716505]","[-0.1891025641025641, 0.0]","[-0.0017576029158046108, 0.0]"
DiagReachK2,186,support_on_mean,0.09082121917581887,0.09960922667042205,0.0,0.1891025641025641,"[-0.3840711712837219, 0.40706086311584855]","[-0.1891025641025641, 0.0]","[-0.0017576029158046108, 0.0]"
DiagReachK2,186,risk_on_B,-0.09755081854117265,-0.09755081854117265,0.0,0.0,"[-0.12360034539149378, -0.35057972333370113]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,interaction,0.0865399968777183,0.07775198938311689,0.0,-0.1891025641025641,"[0.25861725898889354, -0.29102068069653697]","[0.1891025641025641, 0.0]","[0.0017576029158046108, 0.0]"
DiagReachK2,187,risk_on_A,-0.16809253196906404,-0.15073574450310723,0.0,0.3012820512820513,"[-0.22740520269442843, -0.43806828902317907]","[-0.00641025641025641, -0.2980769230769231]","[-5.060994726979811e-05, -0.0033374614695198535]"
DiagReachK2,187,support_on_mean,-0.27230100280228875,-0.25494421533633194,0.0,0.3012820512820513,"[-0.8341364310337953, -0.5627328478373013]","[-0.00641025641025641, -0.2980769230769231]","[-5.060994726979811e-05, -0.0033374614695198535]"
DiagReachK2,187,risk_on_B,-0.0014624956185382842,-0.0014624956185382842,0.0,0.0,"[0.618226121633481, 0.05500394870073411]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,187,interaction,0.16663003635052576,0.14927324888456894,0.0,-0.3012820512820513,"[0.8456313243279094, 0.4930722377239114]","[0.00641025641025641, 0.2980769230769231]","[5.060994726979811e-05, 0.0033374614695198535]"
DiagReachK3,180,risk_on_A,-0.19480886047132095,-0.1634337242179651,0.0,0.4262820512820513,"[-0.10072615207769875, -0.43051728682640267, -0.5041649922346458]","[0.0, -0.42628205128205127, 0.0]","[0.0, -0.005353517551158778, 0.0]"
DiagReachK3,180,support_on_mean,-0.02446802641635948,0.0069071098369963835,0.0,0.4262820512820513,"[0.5702608563961133, -0.6430846361013556, -0.03823750447004315]","[0.0, -0.42628205128205127, 0.0]","[0.0, -0.005353517551158778, 0.0]"
DiagReachK3,180,risk_on_B,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,180,interaction,0.19480886047132273,0.16343372421796332,0.0,-0.4262820512820513,"[0.10072615207769964, 0.4305172868264009, 0.5041649922346458]","[0.0, 0.42628205128205127, 0.0]","[0.0, 0.005353517551158778, 0.0]"
DiagReachK3,186,risk_on_A,0.05061634580331642,0.04990403782136177,0.0,-0.019230769230769273,"[0.2773014031923733, -0.10177414081035518, 0.23473169864752386]","[0.019230769230769232, 0.0, 0.0]","[0.00014246186930617945, 0.0, 0.0]"
DiagReachK3,186,support_on_mean,0.05356394918736207,0.05356394918736207,0.0,0.0,"[0.2768238446651363, 0.09246801260190107, 0.362858995413168]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,186,risk_on_B,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,186,interaction,-0.05061634580331287,-0.04990403782135999,0.0,0.019230769230769162,"[-0.2773014031923733, 0.10177414081035607, -0.23473169864752208]","[-0.019230769230769232, 0.0, 0.0]","[-0.00014246186930617945, 0.0, 0.0]"
DiagReachK3,187,risk_on_A,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,187,support_on_mean,-0.20887273919174731,-0.20887273919174731,0.0,0.0,"[0.24933116099773311, -0.2897781301767397, 0.0249432508762073]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,187,risk_on_B,0.024643735219806118,0.024643735219806118,0.0,0.0,"[-0.7075736751923198, 0.14031681342002678, -0.6685341352071514]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,187,interaction,0.024643735219807894,0.024643735219807894,0.0,0.0,"[-0.7075736751923181, 0.140316813420025, -0.6685341352071497]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
