run,arm,seed,env,episodes,reward,hard_events,hard_rate,hard_cp95,soft_cost,soft_budget,soft_mean_feasible,soft_episode_exceedance,checkpoint_binding,eval_file,eval_sha256,config_sha256,comparison_config_sha256,train_steps,margin,mode,prox_budget
CG2_fdpi_lp_m0.72_r2_s2,CG2_fdpi_lp_m0.72_r2,2,SafetyCarGoal2-v0,312,2.524492015921098,2,0.00641025641025641,0.02004035719137593,31.224358974358974,25.0,False,0.3076923076923077,filename_only_checkpoint_not_in_mirror,CG2_fdpi_lp_m0.72_r2_s2/strict_eval_params_1990002.json,e2d948757532c23a0ed12ddffe01cbe9cad537b4f0c82ffcd8c54272039ffda7,90505f1ab3fc08e632ff340a161722483c2a3b03161843e81a11543eebbee3e1,e16358f695def987c1a5de478e58ba5b26e06f4958d7b0737d0a606bf95082a7,2000000,0.72,lp,0.0
CG2_fdpi_lp_m0.76_r2_s1,CG2_fdpi_lp_m0.76_r2,1,SafetyCarGoal2-v0,312,10.896834441155423,1,0.003205128205128205,0.015113773151500549,21.03846153846154,25.0,True,0.2403846153846154,filename_only_checkpoint_not_in_mirror,CG2_fdpi_lp_m0.76_r2_s1/strict_eval_params_1990002.json,7ce88a293c183b0790f7602d10f9cc324431fd33bdd8e8d8b411716372166e26,75d0b969422406c3734700749764a561ef47b6c1fb90658582d62754c62b4d69,e219d32d869c4a648cb4b94560dc2260f0c732db368941be943212ba056e0e88,2000000,0.76,lp,0.0
CG2_fdpi_lp_r2_s1,CG2_fdpi_lp_r2,1,SafetyCarGoal2-v0,312,17.26959271974601,18,0.057692307692307696,0.08435383708527947,16.471153846153847,25.0,True,0.24358974358974358,filename_only_checkpoint_not_in_mirror,CG2_fdpi_lp_r2_s1/strict_eval_params_1990002.json,ca21be6ed94655435e147e869d6b509254ed5371e144bc63c1dcd2c4973f418b,42491697aaa5b5a270eedc00c1f974a39375aad08b382e2c5f327e201dd3e54d,9de7f9f8cbfe01de4a17595f908829db7d7962daa39b95f568dc78fd52edb14c,2000000,0.8,lp,0.0
CG2_fdpi_lp_r2_s2,CG2_fdpi_lp_r2,2,SafetyCarGoal2-v0,312,21.708225971111965,2,0.00641025641025641,0.02004035719137593,33.833333333333336,25.0,False,0.5256410256410257,filename_only_checkpoint_not_in_mirror,CG2_fdpi_lp_r2_s2/strict_eval_params_1990002.json,944f002b70da18fc06a13f3165a9b557329da1263938da1058c055b356f40372,348d824673ee87ed7cb6a6c07332b5c60d00ccf46080a86de94a900f3d58741a,9de7f9f8cbfe01de4a17595f908829db7d7962daa39b95f568dc78fd52edb14c,2000000,0.8,lp,0.0
CG2_fdpi_lp_r2_s3,CG2_fdpi_lp_r2,3,SafetyCarGoal2-v0,312,18.977038665287942,12,0.038461538461538464,0.06157201316083239,25.89423076923077,25.0,False,0.40064102564102566,filename_only_checkpoint_not_in_mirror,CG2_fdpi_lp_r2_s3/strict_eval_params_1990002.json,3faf4b96c248e1ad7204239ab41cc6fdae74351a180807f0dbf8132b61618f87,13a30d4cbbeb1f922a24ba39bba6db878a59b41665cf6a667481dd60f4ec9ae9,9de7f9f8cbfe01de4a17595f908829db7d7962daa39b95f568dc78fd52edb14c,2000000,0.8,lp,0.0
CG2_fdpi_lp_r2_s5,CG2_fdpi_lp_r2,5,SafetyCarGoal2-v0,312,19.651040516843782,11,0.035256410256410256,0.05768311151830893,25.78525641025641,25.0,False,0.4358974358974359,filename_only_checkpoint_not_in_mirror,CG2_fdpi_lp_r2_s5/strict_eval_params_1990002.json,4d6159d68db2cd30d0b624e258729e3ee38156e6bd531c60ac522eab486118bb,787d3c89af566ce55d51d6b064ac9338ab27dd99a914a9a7a9f79f8c3d3aa3af,9de7f9f8cbfe01de4a17595f908829db7d7962daa39b95f568dc78fd52edb14c,2000000,0.8,lp,0.0
CG2_fdpi_raw_r2_s1,CG2_fdpi_raw_r2,1,SafetyCarGoal2-v0,312,12.311619521437128,35,0.11217948717948718,0.14597151821115625,0.14102564102564102,25.0,True,0.003205128205128205,filename_only_checkpoint_not_in_mirror,CG2_fdpi_raw_r2_s1/strict_eval_params_1990002.json,d34b5c4989510cf96f055d7dd1e728307167c05552b62d0cbd9a8311a9b02f37,8df6615c25f4f6abd0a596c4c1939b68fb1a9a2a409128e8caccc79cef501e1d,74ef17145f0b0b93f9bf99325609e8e7651e6c90efc5f93d49f4b162b514bfc8,2000000,0.0,raw,0.0
CG2_fdpi_raw_r2_s2,CG2_fdpi_raw_r2,2,SafetyCarGoal2-v0,312,11.717469958825335,25,0.08012820512820513,0.11011689145596147,0.5801282051282052,25.0,True,0.003205128205128205,filename_only_checkpoint_not_in_mirror,CG2_fdpi_raw_r2_s2/strict_eval_params_1990002.json,e8d3c51bb8da5c5b288cbe9def1206123b550853812bd2e50c5330665f6ac033,bf9efa58d02e783a69981a6209767b1d343c39af9a6f79770b2084eddd9fad22,74ef17145f0b0b93f9bf99325609e8e7651e6c90efc5f93d49f4b162b514bfc8,2000000,0.0,raw,0.0
CG2_fdpi_raw_r2_s3,CG2_fdpi_raw_r2,3,SafetyCarGoal2-v0,312,10.993505610182345,22,0.07051282051282051,0.09915918438384247,0.060897435897435896,25.0,True,0.0,filename_only_checkpoint_not_in_mirror,CG2_fdpi_raw_r2_s3/strict_eval_params_1990002.json,2b2b2b7276d3ec19dba9d4af23aa616148123af2f8661e6bc43d4e6dc3ec945e,c6ef88696d4b3a3f39a9cbbfe944696da137aec7ad129998f7dd0dac055d02c5,74ef17145f0b0b93f9bf99325609e8e7651e6c90efc5f93d49f4b162b514bfc8,2000000,0.0,raw,0.0
CG2_fdpi_raw_r2_s4,CG2_fdpi_raw_r2,4,SafetyCarGoal2-v0,312,13.782347341037198,26,0.08333333333333333,0.11374571255615688,0.358974358974359,25.0,True,0.003205128205128205,filename_only_checkpoint_not_in_mirror,CG2_fdpi_raw_r2_s4/strict_eval_params_1990002.json,40e9a4167473738ec700c5a11e3a7817f966380bb1d884ecb1d06e32d3f0a840,3d09a87abf9e82d5f937d998a1fec33588b6fd5c647daa1450ae841b839a77b1,74ef17145f0b0b93f9bf99325609e8e7651e6c90efc5f93d49f4b162b514bfc8,2000000,0.0,raw,0.0
