job,env,metric,combo,seed,cycle,channel,episodes,events,zero_event,all_event,firsthit_adv_zero,continuous_adv_zero,firsthit_adv_std,continuous_adv_std
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,19,1,20,6,False,False,False,False,0.46458113193511963,1.3495463132858276
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,20,0,20,5,False,False,False,False,0.4558028280735016,1.2014340162277222
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,20,1,20,3,False,False,False,False,0.34445881843566895,1.6772831678390503
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,21,0,20,7,False,False,False,False,0.49208885431289673,1.5425673723220825
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,21,1,20,7,False,False,False,False,0.4833325445652008,1.4074499607086182
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,22,0,20,9,False,False,False,False,0.5089231729507446,1.5850480794906616
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,22,1,20,4,False,False,False,False,0.39561304450035095,1.4462968111038208
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,23,0,20,7,False,False,False,False,0.4854769706726074,1.433463215827942
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,23,1,20,4,False,False,False,False,0.4096594452857971,1.2646385431289673
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,24,0,20,7,False,False,False,False,0.48642703890800476,1.6460760831832886
development_DiagReachK2_s180_KL_RS,DiagReachK2,KL,RS,180,24,1,20,5,False,False,False,False,0.4468521177768707,1.4770476818084717
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,0,0,20,1,False,False,False,False,0.22941575944423676,1.4737643003463745
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,0,1,20,1,False,False,False,False,0.21964886784553528,1.624749779701233
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,1,0,20,1,False,False,False,False,0.22941577434539795,1.6552553176879883
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,1,1,20,2,False,False,False,False,0.2882750630378723,1.990466594696045
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,2,0,20,6,False,False,False,False,0.47538676857948303,1.705540657043457
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,2,1,20,4,False,False,False,False,0.38616418838500977,1.8763158321380615
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,3,0,20,3,False,False,False,False,0.35501939058303833,1.3652914762496948
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,3,1,20,3,False,False,False,False,0.3393954634666443,2.04099178314209
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,4,0,20,2,False,False,False,False,0.28907468914985657,1.4675079584121704
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,4,1,20,1,False,False,False,False,0.21964886784553528,1.505807876586914
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,5,0,20,4,False,False,False,False,0.40853095054626465,1.7125957012176514
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,5,1,20,7,False,False,False,False,0.48141834139823914,2.018080472946167
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,6,0,20,7,False,False,False,False,0.4873752295970917,1.741288423538208
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,6,1,20,5,False,False,False,False,0.4371907413005829,1.5166513919830322
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,7,0,20,4,False,False,False,False,0.4138640761375427,1.74924898147583
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,7,1,20,7,False,False,False,False,0.49114975333213806,1.818891167640686
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,8,0,20,6,False,False,False,False,0.46433261036872864,1.572344422340393
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,8,1,20,5,False,False,False,False,0.4468521177768707,1.569865345954895
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,9,0,20,10,False,False,False,False,0.5254378914833069,1.0079410076141357
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,9,1,20,7,False,False,False,False,0.4890301525592804,1.5058717727661133
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,10,0,20,9,False,False,False,False,0.5105081796646118,1.5877240896224976
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,10,1,20,5,False,False,False,False,0.4326793849468231,1.7748782634735107
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,11,0,20,5,False,False,False,False,0.42812052369117737,1.9732519388198853
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,11,1,20,4,False,False,False,False,0.41747382283210754,1.6987379789352417
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,12,0,20,3,False,False,False,False,0.3659062087535858,1.3933649063110352
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,12,1,20,7,False,False,False,False,0.49582746624946594,1.8257631063461304
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,13,0,20,4,False,False,False,False,0.41747382283210754,1.4182368516921997
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,13,1,20,6,False,False,False,False,0.4522438049316406,1.640684962272644
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,14,0,20,5,False,False,False,False,0.4458177387714386,1.4789555072784424
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,14,1,20,5,False,False,False,False,0.43214553594589233,1.6013166904449463
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,15,0,20,5,False,False,False,False,0.44968441128730774,1.4347730875015259
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,15,1,20,4,False,False,False,False,0.4138640761375427,1.2944307327270508
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,16,0,20,11,False,False,False,False,0.5183609127998352,1.4245362281799316
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,16,1,20,7,False,False,False,False,0.478773832321167,1.4171249866485596
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,17,0,20,9,False,False,False,False,0.4847632050514221,2.0814361572265625
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,17,1,20,6,False,False,False,False,0.4613400995731354,2.032428741455078
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,18,0,20,6,False,False,False,False,0.45605596899986267,1.5009926557540894
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,18,1,20,4,False,False,False,False,0.4102225601673126,1.3717622756958008
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,19,0,20,2,False,False,False,False,0.28907468914985657,1.8006315231323242
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,19,1,20,7,False,False,False,False,0.49582743644714355,1.2828902006149292
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,20,0,20,8,False,False,False,False,0.501613199710846,1.9660208225250244
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,20,1,20,6,False,False,False,False,0.4775668680667877,1.5536365509033203
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,21,0,20,7,False,False,False,False,0.49838149547576904,1.3695869445800781
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,21,1,20,6,False,False,False,False,0.45453494787216187,1.8873827457427979
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,22,0,20,6,False,False,False,False,0.468539297580719,1.8606284856796265
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,22,1,20,9,False,False,False,False,0.5152342319488525,1.3246852159500122
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,23,0,20,5,False,False,False,False,0.4468521177768707,1.528767704963684
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,23,1,20,4,False,False,False,False,0.40484145283699036,1.5674046277999878
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,24,0,20,8,False,False,False,False,0.5084693431854248,1.511472463607788
development_DiagReachK2_s180_KL_SS,DiagReachK2,KL,SS,180,24,1,20,8,False,False,False,False,0.5061943531036377,1.2512913942337036
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,0,0,20,1,False,False,False,False,0.22941575944423676,1.4737643003463745
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,0,1,20,1,False,False,False,False,0.21964886784553528,1.624749779701233
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,1,0,20,1,False,False,False,False,0.22941577434539795,1.6552553176879883
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,1,1,20,2,False,False,False,False,0.2882750630378723,1.990466594696045
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,2,0,20,6,False,False,False,False,0.47538676857948303,1.705540657043457
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,2,1,20,4,False,False,False,False,0.38616418838500977,1.8763158321380615
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,3,0,20,5,False,False,False,False,0.4395603537559509,1.3508601188659668
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,3,1,20,3,False,False,False,False,0.33287131786346436,1.9701093435287476
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,4,0,20,6,False,False,False,False,0.47050586342811584,1.4543540477752686
