env,metric,scale,reward,any_event,success,joint,reward_seed_sd,any_event_seed_sd,safe_all_seeds
DiagReachK2,KL,0.5,9.34781901960615,0.02777777777777778,1.0,0.9722222222222222,0.04438079511324668,0.04536511484094476,False
DiagReachK2,KL,1.0,9.215463222182082,0.0,1.0,1.0,0.11446260994061441,0.0,True
DiagReachK2,KL,2.0,9.04936795788756,0.0021367521367521365,1.0,0.9978632478632479,0.1711083165477437,0.003700963264036063,False
DiagReachK2,W2,0.5,9.423673574155211,0.010683760683760682,1.0,0.9893162393162394,0.04709006378284879,0.018504816320180313,False
DiagReachK2,W2,1.0,9.249501909408119,0.013888888888888888,1.0,0.9861111111111112,0.1323057609663988,0.024056261216234408,False
DiagReachK2,W2,2.0,8.969140063895574,0.0021367521367521365,1.0,0.9978632478632479,0.21662307127185254,0.003700963264036063,False
DiagReachK3,KL,0.5,9.365301455734079,0.021367521367521364,1.0,0.9786324786324787,0.11079287292181038,0.03700963264036062,False
DiagReachK3,KL,1.0,9.485177616287011,0.0,1.0,1.0,0.08757639516550367,0.0,True
DiagReachK3,KL,2.0,9.442217349547532,0.012820512820512822,1.0,0.9871794871794872,0.0733844955732915,0.011556254088025606,False
DiagReachK3,W2,0.5,9.540793570196342,0.07371794871794872,1.0,0.9262820512820512,0.12893659996149912,0.1249177901916992,False
DiagReachK3,W2,1.0,9.383932252238573,0.0,1.0,1.0,0.11988682135407636,0.0,True
DiagReachK3,W2,2.0,9.591058764185755,0.02136752136752137,1.0,0.9786324786324787,0.09928587319181541,0.03162104398920671,False
