last_install_source,last_install_cycle,env,seed,reward,joint,any_event,cost_mean,event_per_channel,excess,reward_delta,joint_delta,model_steps,model_queries,seconds,pathwise_installs,PPO_installs,recovery,query_failures
pathwise_DT,16,DiagReachK2,180,9.391434743859254,0.9903846153846154,0.009615384615384616,"[5.637501281041366, 5.532938515528654]","[0.009615384615384616, 0.0]","[9.288568781991267e-05, 0.0]",-0.07290672245233054,0.0064102564102564985,360000,300,482.05246329307556,8,2,0,0
pathwise_DT,17,DiagReachK2,186,9.517137428679325,1.0,0.0,"[5.680295092937274, 5.690302248184498]","[0.0, 0.0]","[0.0, 0.0]",-0.022065262895713644,0.009615384615384581,388800,324,524.7220239639282,8,2,0,0
pathwise_DT,22,DiagReachK2,187,9.407094574034458,1.0,0.0,"[5.528257143803132, 5.620682199796041]","[0.0, 0.0]","[0.0, 0.0]",-0.08795954319025512,0.03525641025641024,367200,306,424.668425321579,6,0,0,0
pathwise_DT,24,DiagReachK3,180,9.761929573727405,1.0,0.0,"[6.6529808808595705, 6.212560963936341, 11.821494365349794]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",-0.05929582961738511,0.01602564102564108,637200,531,1268.4165625572205,9,2,0,0
pathwise_DT,21,DiagReachK3,186,9.747915578737052,1.0,0.0,"[6.660726120838752, 6.198597003252078, 11.83321397426801]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",-0.06239174540337089,0.0,568800,474,1199.6422865390778,11,1,0,0
pathwise_DT,16,DiagReachK3,187,9.757444786564646,1.0,0.0,"[6.654761910438538, 6.21805705779638, 11.739725864850557]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",-0.0902940030426631,0.038461538461538436,1016400,847,2013.542144536972,11,0,0,0
