env,seed,reward,joint,any_event,cost_mean,per_channel_event,per_channel_excess,reward_delta,joint_delta,effective_installs,selected_old,masked_PPO,max_installed_KL
DiagReachK2,180,9.072015152813107,0.9903846153846154,0.009615384615384616,"[5.534071751129933, 5.701061241137675]","[0.0, 0.009615384615384616]","[0.0, 2.3272302415635377e-05]",-0.2541717539132424,0.02564102564102566,8,17,25,0.01000000350177288
DiagReachK2,186,7.963430571039928,0.9935897435897436,0.00641025641025641,"[5.689491938322019, 2.1541267889432416]","[0.00641025641025641, 0.0]","[8.252263069152832e-05, 0.0]",-1.1429683465708171,0.038461538461538436,3,21,24,0.009999998845160007
DiagReachK2,187,9.243795922950197,0.9519230769230769,0.04807692307692308,"[5.128760042863014, 5.792886029451322]","[0.0, 0.04807692307692308]","[0.0, 0.0003372868921002776]",0.2488813658221023,-0.04166666666666674,2,22,17,0.007914473302662373
DiagReachK3,180,9.654853608601655,0.9262820512820513,0.07371794871794872,"[6.7869022977657805, 5.932092655927707, 11.708493556731787]","[0.07371794871794872, 0.0, 0.0]","[0.0008047969786675416, 0.0, 0.0]",0.017239186608863477,-0.07051282051282048,9,15,24,0.010000004433095455
DiagReachK3,186,6.620791260523196,0.0,0.016025641025641024,"[6.643299781359159, 0.43310558690856665, 5.832663290011577]","[0.016025641025641024, 0.0, 0.0]","[0.00013472330875885792, 0.0, 0.0]",-2.9896224245930885,-1.0,2,22,25,0.010000001639127731
DiagReachK3,187,9.256191026870138,0.8141025641025641,0.1858974358974359,"[6.794946612455906, 6.346681833267212, 12.082648842762678]","[0.11858974358974358, 0.08653846153846154, 0.038461538461538464]","[0.0015421201894571502, 0.0008173950560229291, 0.0003489252237173224]",-0.20873464837622535,-0.17307692307692313,2,23,23,0.010000002570450306
