arm,setting,seed,n,reward,hard_k,hard_rate,hard_cp95,soft_cost,soft_mean_feasible,soft_episode_exceedance
PG2_fdpi_lp_m0.9_r2,K16 pf0.02 std1,1,312,16.68035703510818,0,0.0,0.009555756807037344,17.939102564102566,True,0.2948717948717949
PG2_fdpi_lp_m0.9_r2,K16 pf0.02 std1,2,312,16.554286509106543,5,0.016025641025641024,0.033398624446883726,20.576923076923077,True,0.3782051282051282
PG2_fdpi_lp_m0.9_r2,K16 pf0.02 std1,3,312,16.04794278101238,7,0.022435897435897436,0.04172682166890226,20.724358974358974,True,0.3525641025641026
PG2_fdpi_lp_m0.9_r2,K16 pf0.02 std1.5,1,312,14.369317274708003,1,0.003205128205128205,0.015113773151500549,15.698717948717949,True,0.22115384615384615
PG2_fdpi_lp_m0.9_r2,K16 pf0.02 std1.5,2,312,14.835451130745442,3,0.009615384615384616,0.024662712139172475,20.525641025641026,True,0.3301282051282051
PG2_fdpi_lp_m0.9_r2,K16 pf0.02 std1.5,3,312,15.306737647663576,0,0.0,0.009555756807037344,21.044871794871796,True,0.358974358974359
PG2_fdpi_lp_m0.9_r2,K16 pf0.02 std2,1,312,12.772774000750598,0,0.0,0.009555756807037344,16.26923076923077,True,0.23717948717948717
PG2_fdpi_lp_m0.9_r2,K16 pf0.02 std2,2,312,12.375823747839908,2,0.00641025641025641,0.02004035719137593,17.708333333333332,True,0.27564102564102566
PG2_fdpi_lp_m0.9_r2,K16 pf0.02 std2,3,312,12.460145824074086,0,0.0,0.009555756807037344,20.78846153846154,True,0.30128205128205127
PG2_fdpi_lp_m0.9_r2,RAND K16 std1,1,312,17.430038916731387,14,0.04487179487179487,0.06926066538626663,17.333333333333332,True,0.2948717948717949
PG2_fdpi_lp_m0.9_r2,RAND K16 std1,2,312,19.226707560455186,16,0.05128205128205128,0.07684904534573782,26.55128205128205,False,0.4551282051282051
PG2_fdpi_lp_m0.9_r2,RAND K16 std1,3,312,17.835568183608917,14,0.04487179487179487,0.06926066538626663,29.596153846153847,False,0.44551282051282054
PG2_fdpi_lp_m0.9_r2,Native,1,312,16.90638402911615,14,0.04487179487179487,0.06926066538626663,17.92948717948718,True,0.28205128205128205
PG2_fdpi_lp_m0.9_r2,Native,2,312,17.786656222084574,16,0.05128205128205128,0.07684904534573782,25.727564102564102,False,0.41346153846153844
PG2_fdpi_lp_m0.9_r2,Native,3,312,17.57258470553212,10,0.03205128205128205,0.05375958556380092,25.621794871794872,False,0.4423076923076923
CG2_fdpi_lp_m0.8sched1500k_r2,K16 pf0.02 std1,1,312,17.0849772078945,2,0.00641025641025641,0.02004035719137593,30.887820512820515,False,0.44551282051282054
CG2_fdpi_lp_m0.8sched1500k_r2,K16 pf0.02 std1,2,312,15.127282812555352,4,0.01282051282051282,0.029096557340277707,18.73076923076923,True,0.27884615384615385
CG2_fdpi_lp_m0.8sched1500k_r2,K16 pf0.02 std1,3,312,18.002661729662968,3,0.009615384615384616,0.024662712139172475,25.34294871794872,False,0.4166666666666667
CG2_fdpi_lp_m0.8sched1500k_r2,K16 pf0.02 std1.5,1,312,14.367521082983878,2,0.00641025641025641,0.02004035719137593,29.08653846153846,False,0.4198717948717949
CG2_fdpi_lp_m0.8sched1500k_r2,K16 pf0.02 std1.5,2,312,12.889271184240576,1,0.003205128205128205,0.015113773151500549,20.076923076923077,True,0.2948717948717949
CG2_fdpi_lp_m0.8sched1500k_r2,K16 pf0.02 std1.5,3,312,14.3012462927249,0,0.0,0.009555756807037344,24.205128205128204,True,0.36538461538461536
CG2_fdpi_lp_m0.8sched1500k_r2,K16 pf0.02 std2,1,312,9.465649644803156,4,0.01282051282051282,0.029096557340277707,26.67628205128205,False,0.3141025641025641
CG2_fdpi_lp_m0.8sched1500k_r2,K16 pf0.02 std2,2,312,8.802087136024443,2,0.00641025641025641,0.02004035719137593,15.048076923076923,True,0.22756410256410256
CG2_fdpi_lp_m0.8sched1500k_r2,K16 pf0.02 std2,3,312,9.146644638574337,1,0.003205128205128205,0.015113773151500549,15.900641025641026,True,0.22115384615384615
CG2_fdpi_lp_m0.8sched1500k_r2,Native,1,312,20.06439413084437,7,0.022435897435897436,0.04172682166890226,31.94551282051282,False,0.4967948717948718
CG2_fdpi_lp_m0.8sched1500k_r2,Native,2,312,18.300815855761623,4,0.01282051282051282,0.029096557340277707,24.381410256410255,True,0.40384615384615385
CG2_fdpi_lp_m0.8sched1500k_r2,Native,3,312,19.66345011155405,11,0.035256410256410256,0.05768311151830893,28.19551282051282,False,0.4358974358974359
