job,env,seed,metric,estimator,cycle,actual_steps,phase,episodes,raw_reward,shaped_reward,penalty,joint,any_event,mean_cost,event,excess,cumulative_overbudget_amount
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,6,3360,acceptance,8,9.19351318187546,9.19351318187546,0.0,1.0,0.0,"[5.245325922966003, 5.2226808071136475]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,7,3840,exploration,20,6.8042362464824695,5.879448993341066,0.9247872531414032,0.15,0.55,"[3.940136781334877, 4.4721414059400555]","[0.2, 0.35]","[0.03372788826624552, 0.05952973365783691]",11.190914630889893
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,7,3840,selection,12,9.205498183347906,9.13981212633662,0.06568605701128642,0.75,0.25,"[5.732845942179362, 5.1692443291346235]","[0.25, 0.0]","[0.013137208090888123, 0.0]",0.9458789825439453
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,7,3840,acceptance,8,9.197252169926651,9.197252169926651,0.0,1.0,0.0,"[5.372843861579895, 5.189668536186218]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,8,4320,exploration,20,7.2985812767618325,6.3689418926113275,0.9296393841505051,0.3,0.4,"[4.689210456609726, 4.16635684967041]","[0.3, 0.25]","[0.05513879855473837, 0.02795834938685099]",9.971657752990723
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,8,4320,selection,12,9.033530146458117,9.033530146458117,0.0,1.0,0.0,"[5.0860176881154375, 5.078558286031087]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,8,4320,acceptance,8,9.2413638982689,9.2413638982689,0.0,1.0,0.0,"[5.661073446273804, 5.314495086669922]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,9,4800,exploration,20,7.852881238042611,6.648896292030112,1.203984946012497,0.15,0.7,"[5.514499020576477, 5.016975665092469]","[0.45, 0.35]","[0.04661649465560913, 0.06336347659428912]",13.197596549987793
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,9,4800,selection,12,9.046258358899893,9.045306323711218,0.0009520351886749268,0.9166666666666666,0.08333333333333333,"[5.682054042816162, 4.668510516484578]","[0.08333333333333333, 0.0]","[0.000190403726365825, 0.0]",0.013709068298339844
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,9,4800,acceptance,8,9.247130243550055,9.247130243550055,0.0,1.0,0.0,"[5.586183786392212, 5.1735148429870605]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,10,5280,exploration,20,7.466303276434628,5.119519057288853,2.346784219145775,0.2,0.55,"[5.4833887934684755, 4.326736903190612]","[0.45, 0.2]","[0.10178693930308022, 0.05842770338058473]",19.225757122039795
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,10,5280,selection,12,8.872209680265707,8.872209680265707,0.0,1.0,0.0,"[4.877991398175557, 4.868127107620239]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,10,5280,acceptance,8,9.220209587854333,9.220209587854333,0.0,1.0,0.0,"[5.654201865196228, 5.208812594413757]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,11,5760,exploration,20,7.010278662596829,5.394025718723424,1.6162529438734055,0.35,0.4,"[4.93811619579792, 3.8709042727947236]","[0.25, 0.2]","[0.09614298343658446, 0.031186000506083167]",15.279478073120117
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,11,5760,selection,12,9.046534340908208,9.035080464015483,0.011453876892725626,0.8333333333333334,0.16666666666666666,"[5.127751549084981, 5.389232635498047]","[0.0, 0.16666666666666666]","[0.0, 0.002290772067175965]",0.16493558883666992
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,11,5760,acceptance,8,9.22744907187298,9.22744907187298,0.0,1.0,0.0,"[5.617081642150879, 5.153518915176392]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,12,6240,exploration,20,6.772664427350975,6.4660116877069225,0.3066527396440506,0.35,0.45,"[4.448909363150596, 3.6086640045046807]","[0.3, 0.2]","[0.026464970906575524, 0.016608289877573644]",5.1687912940979
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,12,6240,selection,12,9.349225655978081,8.558863620743312,0.7903620352347692,0.3333333333333333,0.6666666666666666,"[6.344923496246338, 5.638224760691325]","[0.6666666666666666, 0.3333333333333333]","[0.07122819953494598, 0.03192194965150622]",7.4268107414245605
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,12,6240,acceptance,8,9.232762300292961,9.232762300292961,0.0,1.0,0.0,"[5.7775256633758545, 5.287721633911133]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,13,6720,exploration,20,7.50466796208697,5.719135249150568,1.7855327129364014,0.3,0.4,"[5.101651364564896, 5.024245381355286]","[0.25, 0.3]","[0.08269124428431193, 0.03286997079849242]",13.867345809936523
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,13,6720,selection,12,8.942537944717333,8.942537944717333,0.0,1.0,0.0,"[5.1251358191172285, 4.907541076342265]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,13,6720,acceptance,8,9.233096120855773,9.233096120855773,0.0,1.0,0.0,"[5.6401097774505615, 5.154060482978821]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,14,7200,exploration,20,7.088547486367171,6.037676501574461,1.0508709847927094,0.15,0.5,"[5.450528919696808, 3.6204715013504027]","[0.5, 0.0]","[0.09469247261683147, 0.0]",11.363096714019775
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,14,7200,selection,12,8.967340933173546,8.967340933173546,0.0,1.0,0.0,"[4.800308148066203, 5.499016443888347]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,14,7200,acceptance,8,9.218171817855909,9.218171817855909,0.0,1.0,0.0,"[5.716430902481079, 5.152673602104187]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,15,7680,exploration,20,6.865387606582371,5.547596695980755,1.317790910601616,0.35,0.35,"[4.08114515542984, 4.448241448402404]","[0.1, 0.25]","[0.023101425170898436, 0.07003650665283202]",11.176551818847656
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,15,7680,selection,12,9.08212766128854,9.06948571481383,0.0126419464747111,0.9166666666666666,0.08333333333333333,"[5.705905636151631, 4.7121453285217285]","[0.08333333333333333, 0.0]","[0.00252838929494222, 0.0]",0.18204402923583984
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,15,7680,acceptance,8,9.220463886135258,9.220463886135258,0.0,1.0,0.0,"[5.739369750022888, 5.2098917961120605]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,16,8160,exploration,20,7.442533729793506,5.6789303852338335,1.7636033445596695,0.2,0.6,"[5.177320790290833, 4.626410067081451]","[0.25, 0.35]","[0.07865113019943237, 0.05769267479578653]",16.36125659942627
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,16,8160,selection,12,9.13363018082843,9.13363018082843,0.0,1.0,0.0,"[5.356269399325053, 5.362642844518025]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,16,8160,acceptance,8,9.238557253498584,9.238557253498584,0.0,1.0,0.0,"[5.59011447429657, 5.257654309272766]","[0.0, 0.0]","[0.0, 0.0]",0.0
