branch,env,seed,reward,joint,any_event,costs,channel_event
A,DiagReachK2,180,9.332337865085066,0.9262820512820513,0.07371794871794872,"[5.620280354450911, 5.830177175693023]","[0.003205128205128205, 0.07051282051282051]"
A,DiagReachK2,186,9.024216749090275,1.0,0.0,"[5.531931566886413, 5.1346933750005865]","[0.0, 0.0]"
A,DiagReachK2,187,8.994914557128094,0.9935897435897436,0.00641025641025641,"[5.479942109340277, 5.352757533391316]","[0.00641025641025641, 0.0]"
A,DiagReachK3,180,9.459671857227416,0.9871794871794872,0.01282051282051282,"[5.961202491552402, 6.178181658952664, 11.086226490827707]","[0.0, 0.01282051282051282, 0.0]"
A,DiagReachK3,186,9.717846986379206,0.9711538461538461,0.028846153846153848,"[6.755477018845387, 6.152288608061961, 11.808884736819145]","[0.028846153846153848, 0.0, 0.0]"
A,DiagReachK3,187,9.384863485018604,1.0,0.0,"[6.520845148807917, 5.53898553053538, 11.0043588357094]","[0.0, 0.0, 0.0]"
C,DiagReachK2,180,8.978001766650676,0.9935897435897436,0.00641025641025641,"[5.584662837859912, 4.737593299303299]","[0.00641025641025641, 0.0]"
C,DiagReachK2,186,9.2059666636707,0.9967948717948718,0.003205128205128205,"[5.6622962065232105, 5.555576908282744]","[0.003205128205128205, 0.0]"
C,DiagReachK2,187,9.191044645163064,1.0,0.0,"[5.144157035228534, 5.591576606799395]","[0.0, 0.0]"
C,DiagReachK3,180,9.577719628145227,0.9935897435897436,0.00641025641025641,"[6.650650191001403, 6.122158454014705, 11.64200674264859]","[0.00641025641025641, 0.0, 0.0]"
C,DiagReachK3,186,9.579003283362807,0.9615384615384616,0.038461538461538464,"[6.840906468721537, 5.6875911477284555, 11.428497464228899]","[0.038461538461538464, 0.0, 0.0]"
C,DiagReachK3,187,9.371084333155213,0.9743589743589743,0.02564102564102564,"[5.702757344796107, 6.335733158466144, 10.875349964850988]","[0.0, 0.02564102564102564, 0.0]"
