env,seed,cycle,anchor,candidate,channel,Gtrain,Ghold,Gsample,Gdet,optimism,optimism_lo,optimism_hi,Gdet_lo,Gdet_hi,hold_episode_contribution_std,sample_episode_contribution_std
DiagReachK2,180,6,1,shapedKL,shaped,3.5431965724474908,0.4194431848219746,0.5279801652906828,-0.6652084994566392,3.015216407156808,2.7064355692273825,3.2864998123710842,-0.6831893453784232,-0.6496087870281465,1.3777924446545717,1.2358170357028313
DiagReachK2,180,6,1,shapedKL,raw,-0.3638585723855288,-0.26297504462833016,-0.31298407519698235,-0.6652084994566392,-0.050874497188546475,-0.10690945674373263,0.002947818645330476,-0.6831893453784232,-0.6496087870281465,0.4321080059842135,0.2283128208225392
DiagReachK2,180,6,1,shapedKL,penalty,-3.9070551678028664,-0.6824181775376174,-0.8409642404876649,0.0,-3.0660909273152015,-3.347496321397159,-2.7387446296357325,0.0,0.0,1.3692363626997197,1.286029654942976
DiagReachK2,180,6,1,shapedKL,cost_0,-1.2631909135562287,-0.6513877769033496,-0.5903786011040211,-1.0322812497615814,-0.6728123124522076,-0.7366846209690825,-0.6127938491358341,-1.0397212211042643,-1.0253380805253982,0.9058693415628254,0.24488122601786919
DiagReachK2,180,6,1,shapedKL,cost_1,-0.9901724222589626,-0.4100259198171137,-0.49832296557724476,-0.807187594473362,-0.49184945668171787,-0.5880339118194177,-0.4084261553835467,-0.8148829577490687,-0.7994679264724255,0.6506473539406595,0.3819259685235849
DiagReachK2,180,6,1,shapedW2,shaped,3.4684051979268604,0.4117371901541623,0.5223097321297248,-0.643566719537557,2.9460954657971357,2.639229729332957,3.213573888944876,-0.6615570805861988,-0.6278922764931213,1.341757202351524,1.222362358925879
DiagReachK2,180,6,1,shapedW2,raw,-0.3554265288092417,-0.2569644188676227,-0.30658083085909293,-0.643566719537557,-0.04884569795014876,-0.10402841204443829,0.0039515080823522685,-0.6615570805861988,-0.6278922764931213,0.42719076862277106,0.22235405294686506
DiagReachK2,180,6,1,shapedW2,penalty,-3.8238317482808952,-0.6687015565140522,-0.8288905629888177,0.0,-2.9949411852920775,-3.271929927000997,-2.6699493160175507,0.0,0.0,1.3351174159680288,1.2703576781048638
DiagReachK2,180,6,1,shapedW2,cost_0,-1.241963254834633,-0.6365751695481048,-0.5763755720108747,-1.0077222771942616,-0.6655876828237584,-0.7283062271653822,-0.6058469873965865,-1.0151967382058502,-1.0008645220659673,0.9176724560136726,0.24159676979888878
DiagReachK2,180,6,1,shapedW2,cost_1,-0.9646473304850371,-0.4057279341048937,-0.48877125326544046,-0.7836895510554314,-0.4758760772195967,-0.5688373536586152,-0.39400509216518587,-0.7910220263525843,-0.7761460449546576,0.6387830258529128,0.3727474866739881
DiagReachK2,180,6,1,rawKL,shaped,-0.4078595398265462,0.09873862472229848,-0.27826301194818365,-0.2377624414581078,-0.12959652787836257,-0.380072320599039,0.13051348205963553,-0.2795789173566116,-0.1992418985429049,1.1097320211915171,1.0621718438938401
DiagReachK2,180,6,1,rawKL,raw,0.3895017679040752,0.3820699663228591,0.41893854131831176,0.0930229224544746,-0.02943677341423656,-0.09955890382881137,0.03200678060815293,0.08721686633305581,0.1011357289889655,0.4752124292106308,0.25530900953977187
DiagReachK2,180,6,1,rawKL,penalty,0.7973612818466822,0.28333134475396965,0.6972015532664955,0.3307853639125824,0.10015972858018674,-0.13556827951033168,0.3238401710121281,0.294611768447794,0.37132223264779896,0.9996380602853462,0.9465587584125392
DiagReachK2,180,6,1,rawKL,cost_0,0.4024360378325554,0.6951198327425921,0.6722901850007474,1.1296522617340088,-0.26985414716819206,-0.3118384291830836,-0.22690530465388578,1.1278633588925004,1.1313886588439346,0.92506609836691,0.1775389028194069
DiagReachK2,180,6,1,rawKL,cost_1,0.4125629499420606,0.2409089590987046,0.4665959384292364,0.7388414144515991,-0.054032988487175804,-0.08796099993809234,-0.020543580841637373,0.735297410748899,0.7426037576049567,0.7309387290465407,0.1423335406198935
DiagReachK2,180,6,1,rawW2,shaped,-0.29184717539740407,0.07158138035121586,-0.22945028266240106,-0.21157365329090674,-0.06239689273500301,-0.2938711642907607,0.18216537536780153,-0.2482835343838358,-0.1749065958577921,1.1191817814481393,0.9960025161167811
DiagReachK2,180,6,1,rawW2,raw,0.3775397933708625,0.36200632838875807,0.4024520329914596,0.08542807270314376,-0.024912239620597076,-0.09122711850953542,0.03490551553250179,0.07980341725415178,0.09333889728784946,0.4768898475841245,0.2469660768804844
DiagReachK2,180,6,1,rawW2,penalty,0.6693869319823068,0.2904249495467153,0.6319023156538606,0.2970017259940505,0.03748461632844624,-0.1920213527665976,0.24462684319209857,0.2635445229243487,0.3315258369548246,1.0235588334096464,0.8749685934435317
DiagReachK2,180,6,1,rawW2,cost_0,0.40243628240151696,0.7160793727877197,0.673598914872855,1.120140753686428,-0.271162632471338,-0.3133915706914068,-0.2286191321354509,1.1184491243213415,1.1219585496932267,0.9475435660753049,0.17666185800946238
DiagReachK2,180,6,1,rawW2,cost_1,0.2921264190275542,0.1713206003668851,0.3894557096064091,0.5887933596968651,-0.09732929057885487,-0.1317213632117637,-0.06619581351500534,0.5852888537570834,0.5923457590863108,0.7237134065660078,0.13917538847201466
