env,seed,reward,joint,any_event,cost_mean,event_per_channel,excess,reward_delta,joint_delta,model_steps,model_queries,seconds,pathwise_installs,PPO_installs,recovery,query_failures
DiagReachK2,180,9.464341466311584,0.9839743589743589,0.016025641025641024,"[5.707283600782737, 5.702117815995828]","[0.01282051282051282, 0.003205128205128205]","[0.00011445390872466259, 7.065188171517373e-06]",-0.030376279578828047,0.07051282051282048,360000,300,411.1343104839325,8,2,0,0
DiagReachK2,186,9.539202691575039,0.9903846153846154,0.009615384615384616,"[5.740201251629071, 5.777293465076348]","[0.00641025641025641, 0.00641025641025641]","[4.0495752269386464e-05, 3.098269813081162e-05]",0.16695665627369394,0.0032051282051281937,344400,287,392.3809247016907,9,1,0,0
DiagReachK2,187,9.495054117224713,0.9647435897435898,0.035256410256410256,"[5.711103057249998, 5.73852230493839]","[0.022435897435897436, 0.016025641025641024]","[0.00018383779077448372, 9.3591773611868e-05]",0.06661626336195603,0.012820512820512886,393600,328,458.2368948459625,8,0,0,0
DiagReachK3,180,9.82122540334479,0.9839743589743589,0.016025641025641024,"[6.776283525503599, 6.317258669779851, 12.039320771510784]","[0.009615384615384616, 0.00641025641025641, 0.0]","[3.487788713895358e-05, 4.149635397706047e-05, 0.0]",0.06684891523223868,0.10897435897435892,759600,633,1475.8866484165192,9,2,0,0
DiagReachK3,186,9.810307324140423,1.0,0.0,"[6.78447043742889, 6.309991327615885, 12.00520301476503]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.6477532473091898,0.0,577200,481,1115.3120245933533,13,1,0,0
DiagReachK3,187,9.847738789607309,0.9615384615384616,0.038461538461538464,"[6.80547138207998, 6.352807332307864, 12.066366238471788]","[0.016025641025641024, 0.022435897435897436, 0.0]","[0.00010061504203321286, 8.556852209027226e-05, 0.0]",0.00017079198263658668,0.009615384615384692,682800,569,1320.8254697322845,13,0,0,0
