queue,task,arm,training_seed,mode,episodes,reward,cost,episode_budget_exceedance,checkpoint_sha256
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps1,3,deterministic,30,2.604784616910423,15.8,0.26666666666666666,eecdba561ad2c97f749303c267a121a27be5946fab0c0b0a9ad7fee6a8a532e9
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps1,3,stochastic,30,2.64874683251711,19.166666666666668,0.3,eecdba561ad2c97f749303c267a121a27be5946fab0c0b0a9ad7fee6a8a532e9
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps3,1,deterministic,30,2.481141717010743,28.7,0.36666666666666664,aa9f0973a323a35f22a403fba58f4ebdcf78cde3c4a638e3895564469b65e018
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps3,1,stochastic,30,5.29660605791635,34.46666666666667,0.36666666666666664,aa9f0973a323a35f22a403fba58f4ebdcf78cde3c4a638e3895564469b65e018
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps3,2,deterministic,30,5.849232118680462,44.733333333333334,0.5,25f7e7be50f6eb1272c016c4cb3be3780ff81f9ec13bdfee8779a7b3b2ba758e
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps3,2,stochastic,30,3.146012156380291,44.3,0.43333333333333335,25f7e7be50f6eb1272c016c4cb3be3780ff81f9ec13bdfee8779a7b3b2ba758e
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps3,3,deterministic,30,2.383101928204929,42.666666666666664,0.2,f52b425435cf9db26e73574504d485ca376670c4d613777bf864ade6bb8dfcc9
runs_effect_v1,SafetyCarBuildingGoal2-v0,safeot_eps3,3,stochastic,30,3.5318215191228504,24.866666666666667,0.36666666666666664,f52b425435cf9db26e73574504d485ca376670c4d613777bf864ade6bb8dfcc9
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda0.1,1,deterministic,30,29.10652785695061,171.83333333333334,0.9333333333333333,d452a2b6d8f0104464be3d526b0051e75e962fc3a9b3dea3367ca67c8b46715a
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda0.1,1,stochastic,30,28.12955199754606,168.73333333333332,0.9,d452a2b6d8f0104464be3d526b0051e75e962fc3a9b3dea3367ca67c8b46715a
