env,seed,reward_delta,any_event_delta,joint_delta
DiagReachK2,180,-0.016339843400976387,-0.0146484375,0.0146484375
DiagReachK2,186,-0.0329469654182674,0.0,0.0
DiagReachK2,187,-0.004508601443342359,0.0,0.0
DiagReachK3,180,-0.051361114919578135,0.0009765625,-0.0009765625
DiagReachK3,186,0.00837921423610058,0.0,0.0
DiagReachK3,187,-0.04389989887185222,0.0,0.0
