env,seed,cycle,anchor,kernel,raw_reward,shaped_reward,penalty,joint,success,any_event,cost_mean,event,excess
DiagReachK2,180,6,1,sample_old,7.147847083693886,5.467486637941146,1.68036044575274,0.234375,0.421875,0.5,"[4.756527703255415, 4.424429984763265]","[0.375, 0.203125]","[0.08562252546350162, 0.038040030747652054]"
DiagReachK2,180,6,1,sample_shapedKL,6.834863008496905,5.99546680323183,0.839396205265075,0.3125,0.390625,0.3125,"[4.166149102151394, 3.92610701918602]","[0.21875, 0.09375]","[0.04875967899958293, 0.015279774864514668]"
DiagReachK2,180,6,1,sample_shapedW2,6.841266252834794,5.989796370070872,0.8514698827639222,0.296875,0.390625,0.328125,"[4.18015213124454, 3.935658731497824]","[0.21875, 0.109375]","[0.04937022055188815, 0.015611353019873302]"
DiagReachK2,180,6,1,sample_rawKL,7.566785625012199,5.1892236259929625,2.3775619990192354,0.25,0.484375,0.546875,"[5.428817888256162, 4.891025923192501]","[0.40625, 0.28125]","[0.12096235528588294, 0.054740894585847855]"
DiagReachK2,180,6,1,sample_rawW2,7.550299116685346,5.238036355278745,2.3122627614066005,0.25,0.484375,0.53125,"[5.43012661812827, 4.813885694369674]","[0.40625, 0.25]","[0.12122765804330506, 0.05047127480308215]"
DiagReachK2,180,6,1,det_old,9.17352299305312,9.17352299305312,0.0,1.0,1.0,0.0,"[5.223409414291382, 5.233588710427284]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,6,1,det_shapedKL,8.508314493596481,8.508314493596481,0.0,1.0,1.0,0.0,"[4.1911281645298, 4.426401115953922]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,6,1,det_shapedW2,8.529956273515563,8.529956273515563,0.0,1.0,1.0,0.0,"[4.21568713709712, 4.449899159371853]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,6,1,det_rawKL,9.266545915507596,8.935760551595013,0.3307853639125824,0.03125,1.0,0.96875,"[6.353061676025391, 5.972430124878883]","[0.96875, 0.359375]","[0.058968507995208114, 0.005740956713755924]"
DiagReachK2,180,6,1,det_rawW2,9.258951065756264,8.961949339762214,0.2970017259940505,0.03125,1.0,0.96875,"[6.34355016797781, 5.822382070124149]","[0.96875, 0.046875]","[0.057451313982407284, 0.0005041398108005524]"
