job,seed,margin_mode,epsilon,reward,soft_cost,soft_feasible,hard_events,episodes,hard_rate,hard_cp95_upper
distance_lp_e0p1_s1,1,distance,0.1,8.569165813288292,16.73076923076923,True,1,312,0.003205128205128205,0.015113773151500549
distance_lp_e1_s1,1,distance,1,8.57947929219804,18.94871794871795,True,2,312,0.00641025641025641,0.02004035719137593
distance_lp_e3_s1,1,distance,3,5.973933528182227,5.676282051282051,True,2,312,0.00641025641025641,0.02004035719137593
approach_lp_e0p1_s1,1,approach,0.1,21.602161875433648,27.78525641025641,False,2,312,0.00641025641025641,0.02004035719137593
approach_lp_e1_s1,1,approach,1,21.675839424548084,30.108974358974358,False,4,312,0.01282051282051282,0.029096557340277707
approach_lp_e3_s1,1,approach,3,21.320059377542453,23.833333333333332,True,7,312,0.022435897435897436,0.04172682166890226
distance_lp_e0p1_s2,2,distance,0.1,8.983844446679765,20.71474358974359,True,1,312,0.003205128205128205,0.015113773151500549
distance_lp_e1_s2,2,distance,1,9.38318332192988,23.85576923076923,True,2,312,0.00641025641025641,0.02004035719137593
distance_lp_e3_s2,2,distance,3,9.193309540537577,26.150641025641026,False,0,312,0.0,0.009555756807037344
approach_lp_e0p1_s2,2,approach,0.1,21.693535987234966,33.51282051282051,False,2,312,0.00641025641025641,0.02004035719137593
approach_lp_e1_s2,2,approach,1,21.519855188336052,30.974358974358974,False,5,312,0.016025641025641024,0.033398624446883726
approach_lp_e3_s2,2,approach,3,21.48047845924868,31.78846153846154,False,4,312,0.01282051282051282,0.029096557340277707
distance_lp_e0p1_s3,3,distance,0.1,7.876652743439368,4.205128205128205,True,0,312,0.0,0.009555756807037344
distance_lp_e1_s3,3,distance,1,6.104391905149724,6.5256410256410255,True,0,312,0.0,0.009555756807037344
distance_lp_e3_s3,3,distance,3,9.04893120703584,16.490384615384617,True,3,312,0.009615384615384616,0.024662712139172475
approach_lp_e0p1_s3,3,approach,0.1,21.653284623182905,31.634615384615383,False,6,312,0.019230769230769232,0.037601714987248784
approach_lp_e1_s3,3,approach,1,22.158396105320655,22.246794871794872,True,6,312,0.019230769230769232,0.037601714987248784
approach_lp_e3_s3,3,approach,3,21.60754359261072,25.53846153846154,False,3,312,0.009615384615384616,0.024662712139172475
