suite,method,progress_pct,n_tasks,n_seeds_total,cost_over_budget_q25,cost_over_budget_median,cost_over_budget_q75,normalized_return_q25,normalized_return_median,normalized_return_q75
SafePO,SafeOT-Dual,1.0,10,75,0.0258528197305661,1.268704564609858,1.994419535143756,-0.24907272769314254,-0.0803393981384933,-0.015520466431272622
SafePO,SafeOT-Dual,2.0,10,75,0.07272428524906,1.111328630975093,1.9630128839561691,-0.23252312074254922,-0.06928674777780897,-0.01487241417426651
SafePO,SafeOT-Dual,3.0,10,75,0.16268655733995907,1.0390639709561489,2.0050877404237153,-0.21222470827823384,-0.05470048582947246,0.00031146206067573373
SafePO,SafeOT-Dual,4.0,10,75,0.29398836880711565,1.1677010714285714,2.125022083333333,-0.07351175031949951,-0.02146063699268866,0.029400098300483405
SafePO,SafeOT-Dual,5.0,10,75,0.40030042910261593,1.5826374468519326,2.3907379166666667,0.011305469410700278,0.06593706310833222,0.07869085856163936
SafePO,SafeOT-Dual,6.0,10,75,0.5295474890615364,1.850701841888215,2.53770375,0.04284153729025328,0.09028577522926648,0.10702407100270128
SafePO,SafeOT-Dual,7.0,10,75,0.4304604907746229,1.8670090476190477,2.4672675,0.06038601709193903,0.11628808339990722,0.11973781516968045
SafePO,SafeOT-Dual,8.0,10,75,0.31379205801056465,1.7736357142857142,2.3784687499999997,0.05263168761385781,0.09952985761301723,0.1368036244155497
SafePO,SafeOT-Dual,9.0,10,75,0.2760344746896608,1.4755409523809524,2.23164875,0.025724153408119572,0.11019539342939985,0.16107707930016835
SafePO,SafeOT-Dual,10.0,10,75,0.3248471954688573,1.3616871428571429,1.98916625,0.00887876488072277,0.11829948809476533,0.17916007712820975
SafePO,SafeOT-Dual,11.0,10,75,0.4005689603976107,1.1798767857142858,1.8786379166666667,0.03182909632432533,0.12796583747268836,0.1953412040446938
SafePO,SafeOT-Dual,12.0,10,75,0.46974255617905547,1.0852360714285716,1.7543925000000002,0.02049525426880786,0.14410593969286625,0.21301953450197353
SafePO,SafeOT-Dual,13.0,10,75,0.5200404069231747,1.1171175,1.6773754166666668,0.048611323750098925,0.16049410815087053,0.21869347907231823
SafePO,SafeOT-Dual,14.0,10,75,0.4817446385602418,1.211407142857143,1.7630112500000004,0.0690429041794948,0.19123249076001458,0.22391215846510423
SafePO,SafeOT-Dual,15.0,10,75,0.4798268269579948,1.242416785714286,1.8505299999999998,0.0902402093175359,0.22350745034451136,0.2811772597725128
